Course	Section	Room	Teacher	Time	Students
51	1	16	100	12	5 34 72 74 367 392 431 592 704 714 743 753 895 946 949 954 1046 1152 1167 
51	2	5	150	4	
52	1	39	97	36	25 156 235 562 620 631 664 802 846 944 1008 1081 1099 1108 
53	1	39	150	4	70 99 109 346 347 467 520 702 823 886 923 929 965 1086 1139 1173 
54	1	9	192	24	65 83 85 91 125 135 136 229 260 479 487 625 631 636 659 778 850 865 906 932 977 1140 
55	1	24	207	26	2 95 179 329 517 663 664 670 732 767 818 827 882 912 1099 1145 
55	2	24	125	32	
56	1	39	159	55	23 104 345 428 483 500 505 552 773 934 975 1006 1022 1068 
57	1	24	38	44	1 19 31 45 129 149 242 291 566 620 821 859 870 1012 1060 1078 
57	2	24	132	53	137 335 
58	1	5	86	9	5 46 63 90 231 259 412 439 550 568 601 619 657 724 728 826 933 974 995 1045 1173 
58	2	2	197	14	
59	1	39	26	18	68 72 118 193 264 350 410 415 452 500 551 623 716 768 806 1164 
59	2	9	244	51	518 
60	1	41	162	8	7 9 29 61 104 111 158 187 207 212 548 673 746 761 842 848 1006 1073 1090 1124 
61	1	24	43	36	54 262 293 391 402 424 553 595 602 614 630 634 651 724 760 823 824 845 883 986 1016 1123 1134 
61	2	5	89	30	
62	1	5	157	52	51 132 215 299 335 473 596 604 684 736 746 793 847 849 892 969 1001 1030 1106 
63	1	24	87	55	48 137 167 196 211 289 320 338 377 421 430 633 649 687 720 744 808 818 871 972 1094 1109 1121 1146 
64	1	5	130	38	121 147 201 358 429 534 641 688 733 860 864 906 931 979 1003 1018 1062 1098 1169 
64	2	2	186	35	417 766 1058 
65	1	2	199	24	106 152 291 299 351 480 563 638 758 773 819 1085 1097 
65	2	32	161	49	
65	3	39	230	28	
66	1	9	12	7	41 154 165 167 306 378 511 627 664 671 727 927 928 961 1011 
67	1	24	82	49	101 183 207 249 295 319 338 373 379 381 408 500 522 595 615 679 772 876 920 1048 1068 1100 
67	2	9	204	40	1150 
68	1	5	91	10	62 333 370 444 486 545 641 
69	1	39	205	11	85 111 113 140 203 262 318 475 589 602 691 772 816 875 899 953 976 982 1009 1140 
70	1	9	68	3	32 136 239 368 395 742 764 829 940 1033 1059 
71	1	16	25	37	150 188 282 283 477 489 505 524 751 814 1084 
71	2	16	61	33	
71	3	38	57	21	
72	1	9	235	9	127 306 531 597 645 680 717 886 945 1035 1119 
72	2	9	200	30	307 
73	1	2	236	25	177 214 227 318 333 348 359 454 456 522 547 562 583 606 661 889 955 956 965 1066 1092 1098 1119 
73	2	44	17	18	259 1007 
73	3	32	8	46	
74	1	39	182	42	126 145 244 290 341 357 412 466 530 588 598 799 1031 1054 
74	2	41	198	33	
74	3	32	164	33	
75	1	2	49	37	48 104 375 471 552 620 680 737 844 860 861 934 1024 1055 1135 
75	2	2	189	21	
75	3	25	217	6	
76	1	9	253	29	31 271 276 278 357 388 432 441 568 614 674 699 855 964 985 1056 1069 1116 1137 
76	2	39	44	40	208 1163 
77	1	16	54	35	237 381 389 491 595 783 1147 1164 
77	2	32	228	15	
77	3	25	175	10	
78	1	41	63	18	16 63 222 293 331 380 416 554 629 712 721 1066 1129 1156 
78	2	41	22	3	
79	1	2	117	17	21 249 267 316 355 506 581 601 639 684 759 760 797 839 888 933 1054 1072 
79	2	32	63	18	
79	3	27	143	6	
80	1	39	106	10	196 234 267 282 285 378 512 533 847 855 935 1105 1161 
80	2	39	86	9	940 
81	1	44	64	21	166 266 290 314 410 471 533 543 554 596 625 626 647 677 752 755 1162 
81	2	41	16	50	
81	3	32	196	3	
82	1	24	85	1	28 48 90 130 132 153 162 165 183 187 214 228 265 375 536 545 650 690 809 854 952 
82	2	5	211	20	
83	1	5	160	49	13 46 56 117 127 129 228 313 524 587 618 706 707 801 843 857 898 951 968 1074 
83	2	5	209	12	
84	1	5	245	27	146 369 373 541 578 625 632 640 699 706 803 
85	1	8	246	8	127 151 310 405 411 455 506 605 660 693 716 782 882 1131 1163 
85	2	25	249	50	
85	3	44	110	29	
86	1	9	175	10	105 168 255 280 421 429 613 622 684 729 940 976 1036 
87	1	24	176	31	9 71 86 94 290 315 378 400 539 588 719 1138 1148 
87	2	9	145	34	
88	1	24	156	58	4 173 304 362 375 488 501 587 868 897 929 1162 
88	2	35	165	12	699 733 
88	3	44	244	51	
89	1	24	50	48	20 44 118 136 141 152 371 420 439 476 484 540 575 591 612 625 680 685 712 736 741 752 860 881 980 1021 1040 1093 1144 
89	2	2	172	19	
90	1	5	183	47	21 37 81 248 373 438 453 590 611 630 897 931 949 962 977 
90	2	9	50	48	427 
90	3	24	210	16	
91	1	5	159	55	202 238 260 370 442 470 486 527 851 881 898 901 910 913 916 1029 1044 1050 1163 
91	2	5	145	34	102 
91	3	5	97	36	
92	1	24	181	4	5 137 172 218 324 367 433 496 623 654 666 696 745 827 856 969 977 994 1052 1065 1078 1108 
92	2	2	154	27	
93	1	24	157	52	20 190 219 338 340 520 739 863 875 888 1084 1132 
94	1	2	3	51	53 64 189 240 267 284 347 581 638 682 692 719 842 931 946 965 1000 
95	1	9	201	56	331 361 372 533 678 791 805 914 933 967 1043 1066 1084 1144 
95	2	5	241	57	
95	3	2	173	1	
96	1	39	242	38	29 77 87 144 192 372 405 458 464 475 647 717 968 995 1030 
97	1	16	73	30	11 50 57 165 199 274 374 386 390 397 532 578 582 656 697 726 761 867 1017 
97	2	36	147	21	985 
98	1	24	55	57	21 198 294 334 452 472 473 529 547 572 637 645 809 826 894 1015 1174 
99	1	39	245	27	203 326 337 374 423 446 502 583 609 659 816 842 894 951 996 
100	1	9	256	47	124 196 323 418 419 427 448 464 637 649 777 905 921 1007 1063 1121 
100	2	9	85	1	339 
101	1	2	69	20	14 55 109 111 130 143 156 366 432 438 501 605 647 659 831 866 902 922 1047 1052 1090 1094 
101	2	41	248	5	1096 
102	1	14	84	12	104 107 179 180 304 322 325 363 365 381 472 735 758 798 862 1007 1072 1113 
102	2	35	216	16	1137 
102	3	34	6	53	
103	1	36	92	53	6 23 131 159 201 431 438 580 612 622 655 683 739 780 784 896 900 915 934 962 1083 1091 
103	2	32	152	16	
103	3	5	254	31	
104	1	5	78	7	77 128 194 325 331 382 432 536 544 579 609 729 741 764 822 838 846 907 989 991 995 1010 1122 
104	2	24	168	28	
105	1	14	51	21	160 177 215 232 300 399 419 431 443 577 588 756 788 816 917 1134 
105	2	35	116	37	
105	3	9	122	22	
106	1	9	182	42	45 63 141 225 329 356 384 387 442 618 700 775 832 872 873 877 888 964 1025 1123 
106	2	44	248	5	
106	3	41	241	57	
107	1	32	44	40	151 204 322 332 406 540 558 629 879 978 980 1167 
107	2	2	88	28	142 
107	3	37	202	6	
108	1	24	144	3	106 205 238 315 396 455 532 635 737 859 912 957 1061 
109	1	47	30	6	139 211 232 256 310 334 392 415 466 482 505 679 704 713 730 756 843 921 926 960 962 989 1023 1024 1036 1060 1075 
109	2	44	180	48	330 795 810 
109	3	27	100	12	
110	1	5	76	6	113 131 187 362 458 493 676 725 872 873 937 948 1042 1093 1102 1154 
111	1	39	80	8	39 87 121 182 275 297 311 412 450 477 482 517 576 616 697 711 723 732 781 833 879 881 1010 1020 
112	1	41	172	19	59 87 250 269 395 443 444 455 489 551 592 611 669 691 834 1006 1037 1055 
112	2	5	71	44	
112	3	35	96	53	
113	1	9	120	46	158 307 345 407 460 470 722 726 790 800 817 832 907 997 1044 1088 1095 
114	1	32	197	14	445 499 541 575 625 768 782 863 867 999 1123 1147 
114	2	25	135	57	
114	3	16	146	39	
115	1	9	226	15	100 360 369 387 392 683 686 752 787 893 940 1000 1169 
116	1	9	126	26	97 116 171 195 205 312 724 738 861 871 883 958 1030 1157 
116	2	2	102	52	93 
117	1	2	251	50	36 41 80 250 311 525 591 655 662 710 944 1028 1084 1108 1163 
117	2	41	84	12	
118	1	41	154	27	60 75 106 194 214 224 309 488 687 747 867 934 991 999 1047 1110 
118	2	5	45	5	
118	3	2	226	15	
119	1	16	174	6	174 301 341 454 477 743 875 907 1061 1135 1143 
120	1	25	216	16	93 146 261 322 354 406 435 440 492 537 544 552 613 638 654 757 779 794 827 851 872 883 1130 
120	2	5	230	28	
120	3	41	128	17	
121	1	39	22	3	9 120 217 284 401 507 544 695 780 902 1032 1042 1043 1110 
122	1	9	164	33	3 37 143 180 271 286 313 387 416 433 446 478 523 567 590 661 897 912 1017 1126 
122	2	44	237	8	
123	1	24	169	5	68 69 147 213 257 409 560 643 705 726 784 830 904 921 972 1040 1140 
123	2	39	65	24	663 
124	1	2	60	45	14 157 195 205 213 287 304 516 548 662 748 849 1079 1174 
124	2	32	28	35	
125	1	32	218	37	42 76 254 362 577 644 657 658 687 748 749 768 826 870 918 1111 
125	2	5	93	24	155 
126	1	24	139	34	48 133 220 252 254 258 296 508 679 691 697 797 879 914 983 1141 
126	2	44	6	53	
127	1	41	113	30	129 134 301 334 426 429 495 502 688 720 738 744 782 858 866 878 896 941 985 1098 1158 
127	2	2	41	31	135 
127	3	36	115	8	
128	1	5	249	50	32 33 116 371 377 413 589 599 626 675 712 779 888 919 925 1000 1080 
128	2	16	14	52	
128	3	44	20	38	
129	1	39	254	31	35 47 56 145 158 273 354 627 631 757 766 789 885 911 916 952 973 1049 1058 1100 1101 1149 
130	1	44	196	3	98 287 467 567 709 718 838 882 891 954 959 1008 1128 
130	2	44	136	30	
131	1	2	225	49	42 222 266 335 369 487 493 560 578 654 734 764 899 906 1026 1121 1176 
132	1	9	135	57	9 79 107 197 250 256 345 508 606 700 701 731 740 763 978 1105 
133	1	39	234	57	13 68 108 190 216 247 361 515 534 613 653 
133	2	9	26	18	529 
134	1	35	18	18	125 138 150 179 249 431 493 498 564 650 862 894 926 948 950 983 1025 1070 1082 
134	2	36	77	16	518 
134	3	2	11	56	
135	1	9	171	27	171 315 344 380 387 424 526 535 639 647 656 869 988 1018 1040 1067 1114 1143 
135	2	24	67	21	73 100 
136	1	25	112	52	18 47 83 145 222 262 441 564 600 673 713 724 754 977 1000 1092 
136	2	9	156	58	1010 
136	3	25	47	12	
137	1	2	98	48	70 100 212 336 415 488 503 527 561 563 618 726 734 745 786 815 939 1149 1163 
137	2	5	141	39	
138	1	24	66	33	19 38 162 238 277 307 381 455 494 549 571 572 773 849 898 908 1009 
139	1	9	87	55	123 148 280 302 317 322 598 642 651 691 751 774 820 825 961 980 1059 1070 1086 
139	2	39	142	25	383 
140	1	39	89	30	91 127 152 233 321 352 363 398 448 464 600 663 687 775 833 885 947 990 1030 1035 1053 1168 
141	1	36	130	38	2 9 23 71 159 185 231 304 346 496 640 768 772 834 928 951 953 990 1014 1089 
141	2	4	76	6	8 806 
141	3	36	208	47	
142	1	16	48	51	7 15 30 91 145 244 258 287 345 422 436 459 475 478 547 585 614 658 675 741 755 769 841 901 908 1064 
142	2	32	83	2	
143	1	39	70	14	113 155 156 226 327 463 587 621 640 683 814 856 1067 1107 1151 1168 
144	1	41	149	55	22 102 153 173 271 288 383 405 459 549 570 723 897 899 992 1034 1052 1057 1071 1107 
144	2	24	11	56	
144	3	44	49	37	
145	1	9	1	38	8 17 33 51 241 266 559 671 682 756 781 879 912 960 982 1058 1088 1111 1139 
146	1	24	178	11	27 52 91 447 701 770 821 851 1049 1108 1118 
146	2	2	214	41	
146	3	32	191	32	
147	1	5	232	51	92 523 626 645 803 848 997 1014 1039 1046 1076 
147	2	9	158	12	
148	1	25	36	53	214 251 289 353 359 366 427 528 613 746 754 828 860 861 1102 1143 
148	2	36	14	52	889 
148	3	44	59	50	
149	1	5	151	26	392 534 722 825 952 974 1011 1029 1057 1156 1165 
149	2	41	119	1	
150	1	27	189	21	81 147 161 505 754 808 876 1019 1031 1102 
150	2	25	66	33	
150	3	34	256	47	
151	1	39	19	41	30 36 86 89 119 181 195 202 217 344 483 615 656 710 758 783 841 872 913 1072 1125 1146 
151	2	32	257	6	
152	1	7	143	6	51 80 180 404 424 595 705 735 792 811 815 837 870 938 979 1085 1122 
152	2	25	25	37	114 134 303 517 908 
152	3	41	215	48	
153	1	32	65	24	84 341 465 558 629 679 685 723 739 802 845 886 969 995 1016 1022 1053 1172 1174 
153	2	44	198	33	624 
153	3	5	119	1	
154	1	9	60	45	6 66 79 93 220 346 432 547 930 942 943 1121 1122 
154	2	2	120	46	
155	1	24	16	50	11 69 119 215 216 397 420 456 506 689 703 706 763 864 893 914 939 943 979 
155	2	24	13	15	
156	1	39	77	16	111 122 229 267 307 376 389 419 451 453 510 522 650 759 765 774 932 1028 1070 1156 1161 1169 
157	1	35	34	5	8 88 103 133 157 169 241 479 512 639 729 751 767 829 902 931 966 1016 1037 1092 1120 1145 
157	2	25	113	30	804 
157	3	36	54	35	
158	1	41	123	2	176 253 272 420 421 478 590 989 1023 
158	2	5	239	40	924 
158	3	24	199	24	
159	1	2	152	16	72 82 124 142 231 248 332 375 396 397 496 1073 1079 1095 1097 
159	2	44	225	49	
160	1	5	142	25	17 40 61 159 163 210 259 293 411 422 520 633 635 681 693 696 747 791 882 892 909 911 943 946 967 986 996 1021 1035 1082 
160	2	38	195	8	
161	1	39	212	39	107 122 136 148 171 200 209 329 363 367 459 474 539 644 750 759 812 899 
161	2	9	140	5	550 971 1041 1170 
162	1	41	114	39	170 205 208 282 356 359 371 550 569 574 596 636 683 735 813 942 943 961 1086 1098 1129 1135 
162	2	41	210	16	365 844 
162	3	25	23	47	
163	1	41	56	38	15 110 160 188 191 297 326 361 406 507 511 544 584 685 905 959 1023 
164	1	41	243	52	46 168 179 186 305 382 474 481 546 637 660 909 
165	1	39	4	15	26 35 79 115 220 237 246 271 274 278 300 324 427 449 523 613 637 646 703 732 779 782 873 1079 1124 1145 
165	2	24	95	10	
166	1	32	235	9	50 112 205 307 434 489 530 561 590 592 834 916 1034 1091 1125 
166	2	2	124	34	259 
167	1	2	204	40	27 55 140 141 172 199 335 386 420 523 584 592 619 643 748 786 788 852 917 1021 1054 1067 
167	2	36	229	6	
167	3	39	72	13	
168	1	5	137	35	92 269 285 334 384 410 435 504 507 527 543 565 715 812 817 845 849 867 872 944 950 1054 1060 1146 
169	1	41	224	32	101 219 221 256 357 363 393 503 515 560 658 795 990 1082 1090 
169	2	44	158	12	
169	3	9	178	11	
170	1	39	185	58	70 99 161 273 537 554 655 694 733 775 876 958 972 1037 1058 1077 1085 1119 1151 1153 1175 
170	2	16	132	53	
170	3	32	169	5	
171	1	16	160	49	44 73 189 229 290 372 418 419 447 579 739 759 807 811 816 922 952 966 1037 1064 1130 1158 1170 
171	2	32	190	57	
171	3	24	78	7	
172	1	24	227	18	36 84 85 161 170 171 174 200 203 343 530 594 617 818 884 1053 1073 1136 
173	1	5	61	33	69 84 226 356 407 417 456 503 664 674 735 767 771 865 903 911 987 1081 1131 1133 
173	2	2	234	57	
173	3	41	35	35	
174	1	41	81	29	50 77 149 178 206 208 303 309 316 585 704 973 978 1145 
174	2	35	56	38	441 1127 
175	1	16	203	15	19 73 99 172 178 236 339 366 399 401 425 465 505 558 598 923 1014 1040 1089 1114 1117 1167 
175	2	44	151	26	
175	3	16	167	2	
176	1	44	231	9	3 33 41 279 382 411 581 585 678 776 785 799 870 895 963 980 1063 
176	2	35	108	35	
176	3	35	104	57	
177	1	39	47	12	3 26 38 111 112 175 315 353 403 443 508 518 543 555 574 575 744 868 952 1137 1153 
178	1	32	37	50	50 71 110 312 351 385 499 527 616 650 680 762 860 900 927 1004 1064 
178	2	39	238	54	785 
179	1	44	114	39	5 12 56 89 191 217 251 305 323 349 472 506 563 630 637 783 836 844 988 1041 1080 1110 1158 
179	2	41	239	40	
180	1	2	221	43	52 64 115 133 263 268 308 328 365 450 476 531 532 622 623 770 828 864 921 1112 1115 1138 1174 
180	2	41	4	15	
181	1	24	222	40	12 78 120 242 253 468 483 511 617 757 876 910 913 925 941 946 1081 1112 1118 
181	2	24	153	12	1175 
182	1	9	206	23	15 120 265 352 360 383 386 585 649 667 688 703 707 725 850 855 1088 1141 1153 1168 
182	2	32	111	52	
182	3	24	166	45	
183	1	39	233	2	21 39 52 54 76 169 185 336 515 610 612 615 692 711 727 891 1039 1051 1133 1159 
183	2	24	24	37	66 
184	1	41	193	46	27 102 298 405 468 535 589 605 703 747 842 966 1104 1158 
184	2	9	146	39	
184	3	32	40	10	
185	1	34	195	8	34 89 210 418 454 492 561 599 645 649 653 708 796 900 971 974 1115 1146 
185	2	35	111	52	490 506 517 
185	3	16	118	3	
186	1	9	238	54	131 156 199 252 368 468 481 501 604 753 762 851 947 1058 1114 
186	2	32	171	27	
187	1	44	202	6	62 66 114 115 130 234 350 373 436 495 497 568 582 668 683 880 1054 1083 
188	1	9	74	6	59 105 245 263 268 296 315 732 826 839 958 983 986 987 1035 
189	1	5	179	46	41 42 60 117 173 185 191 314 380 509 602 734 878 896 970 985 992 1114 
189	2	24	5	14	460 
190	1	41	127	4	44 57 98 329 364 409 458 512 532 581 584 626 694 753 796 824 837 880 957 983 999 1051 
190	2	16	139	34	
190	3	38	62	47	
191	1	16	251	50	298 374 467 487 545 693 767 785 880 884 903 993 1046 1085 1136 
191	2	5	98	48	710 
191	3	44	93	24	
192	1	2	2	26	94 121 190 225 233 241 272 284 319 438 449 486 550 677 831 844 873 877 915 1159 
193	1	2	136	30	77 105 156 180 270 279 501 510 536 571 597 854 1086 1150 1155 
193	2	5	118	3	495 
194	1	41	107	34	57 130 154 209 294 411 430 449 624 720 754 783 840 875 898 910 1051 
194	2	32	240	34	
195	1	2	36	53	119 286 346 462 519 627 732 766 863 865 889 1020 1032 1067 
195	2	35	74	6	
195	3	5	17	18	
196	1	2	141	39	81 163 225 232 365 423 461 466 493 549 557 597 634 643 690 803 865 930 956 1005 1013 1019 1060 1094 1159 
196	2	2	181	4	217 
197	1	41	192	24	18 23 301 377 389 460 532 534 624 749 817 929 941 994 1027 1052 1069 
197	2	36	9	12	
198	1	39	166	45	65 92 115 222 227 242 297 351 427 434 449 500 502 556 585 645 672 726 750 761 835 838 891 903 945 956 
199	1	39	24	37	69 80 82 136 177 189 264 360 646 733 823 845 912 936 966 1083 1120 
200	1	24	137	35	59 65 99 140 174 214 278 301 358 469 513 603 648 662 781 885 984 1052 1103 1165 
200	2	9	161	49	
201	1	39	71	44	176 453 458 485 490 551 555 579 603 643 756 852 853 905 925 975 998 1103 1111 
202	1	9	233	2	55 58 133 135 191 209 395 438 526 591 670 728 764 811 913 992 1033 1137 
203	1	9	117	17	71 94 162 284 674 691 998 1062 
203	2	5	27	21	
203	3	2	45	5	
204	1	36	140	5	18 74 75 96 294 350 413 433 447 528 670 675 703 746 804 1009 1066 1087 
204	2	2	205	11	725 
204	3	8	165	12	
205	1	39	138	53	30 31 175 247 266 403 474 531 569 609 640 672 688 709 725 843 945 984 1064 1138 1142 1172 
206	1	38	10	53	126 170 189 337 521 740 743 857 858 871 898 978 1047 1050 1075 1116 
206	2	36	218	37	359 805 
206	3	25	186	35	
207	1	9	176	31	24 67 95 231 234 371 373 412 535 618 656 665 853 900 949 997 1035 1113 1166 
208	1	2	133	33	18 25 31 184 198 223 253 278 425 484 520 545 565 864 881 993 1013 1056 1061 1063 1156 1170 
209	1	25	107	34	22 73 160 257 326 391 409 418 461 463 494 498 570 620 678 792 811 928 962 1028 1078 1155 1162 1165 1171 
209	2	41	184	45	
209	3	41	185	58	
210	1	24	81	29	6 11 13 72 106 358 510 514 516 518 587 598 606 755 808 812 869 924 947 963 1001 1061 1127 1128 1176 
211	1	5	109	14	32 114 122 157 241 251 298 328 472 569 581 586 676 742 789 869 915 927 987 1087 1124 1155 1174 
211	2	41	2	26	
211	3	25	48	51	
212	1	2	148	9	47 88 117 160 172 216 281 366 380 425 520 709 991 1011 1075 
212	2	2	149	55	
213	1	39	250	21	43 83 382 513 706 770 782 798 874 1129 
214	1	2	103	44	137 218 335 354 367 767 787 789 792 802 812 874 1002 1105 
215	1	25	222	40	58 142 422 469 512 528 571 658 768 807 914 931 951 1005 1107 1141 1175 
215	2	41	43	36	
215	3	5	184	45	
216	1	38	153	12	62 142 201 235 324 439 706 780 781 813 819 1055 1071 1097 1150 
216	2	16	105	21	758 
216	3	25	51	21	
217	1	2	123	2	66 340 393 544 559 566 667 787 822 880 1026 1095 1142 1160 
217	2	5	167	2	
218	1	24	83	2	61 178 188 261 268 277 297 321 350 390 417 434 448 485 708 712 736 743 747 770 815 859 924 926 956 1011 
219	1	23	170	6	39 144 270 318 358 414 465 468 559 597 606 614 652 699 769 961 969 1012 1031 1116 1162 
219	2	16	42	18	
220	1	5	221	43	63 89 97 122 167 206 535 569 628 651 682 748 777 847 896 904 991 1015 1043 1173 
220	2	26	229	6	
220	3	44	194	40	
221	1	9	57	21	227 310 356 499 504 775 1056 1099 
222	1	39	23	47	13 27 47 78 123 138 157 183 257 408 426 433 435 508 556 648 739 774 805 908 922 959 1036 1085 1092 
223	1	41	116	37	68 213 242 346 437 444 466 601 621 652 700 740 755 890 930 1034 1073 1119 1124 
223	2	2	99	32	
224	1	44	179	46	17 49 157 280 311 448 480 528 564 640 698 737 819 890 1020 1160 1171 
224	2	41	69	20	
225	1	41	27	21	15 29 49 112 168 192 207 252 276 394 396 574 591 623 651 762 879 970 1027 1046 1059 1147 
225	2	9	127	4	
226	1	39	108	35	78 160 168 178 213 263 359 366 399 413 484 636 666 821 1083 1142 1148 1172 
227	1	16	208	47	269 314 444 445 542 550 603 761 909 1030 1055 
227	2	9	168	28	409 
228	1	9	28	35	10 64 152 167 279 330 348 385 456 461 526 542 621 668 714 771 778 801 
228	2	39	131	49	1023 1078 1120 
229	1	46	177	6	70 163 176 185 201 333 440 489 521 562 567 571 681 757 771 820 830 917 950 954 1003 1013 1057 
229	2	36	190	57	969 
229	3	32	215	48	
230	1	32	105	21	36 153 194 225 239 379 453 580 636 711 822 827 857 1003 1065 1104 1106 
230	2	41	138	53	410 937 
230	3	41	131	49	
231	1	9	37	50	20 122 292 388 395 448 521 745 797 815 942 1103 
232	1	16	75	26	93 107 208 327 338 410 497 627 702 800 841 856 932 1151 1158 
232	2	25	82	49	670 
232	3	25	75	26	
