Course	Room	Teacher	Time	Students
283	SHAAUD	71	41	242 835 603 
290	STOAUD	153	11	711 294 1146 665 545 788 352 1097 988 
292	STOAUD	316	29	242 74 603 646 720 
295	SHAAUD	145	16	911 197 520 104 741 25 629 758 249 455 181 650 864 699 542 546 996 498 363 787 254 966 874 806 428 420 302 1161 1114 
297	STOAUD	38	31	191 436 854 758 456 324 76 669 121 573 576 501 1079 675 771 754 153 
302	ESTW307	192	47	
305	SHAAUD	67	12	644 337 1120 746 142 143 610 371 89 925 513 201 78 310 604 508 870 807 218 755 486 
308	SHAAUD	304	56	528 558 236 232 148 138 493 707 797 795 924 180 189 863 756 328 660 991 411 1138 381 67 256 505 633 464 1129 1108 1086 353 1072 1083 1121 51 532 1171 774 980 307 1039 561 153 158 470 
309	STOAUD	300	50	346 591 443 747 143 139 21 456 677 391 
310	ESTW307	199	22	159 
311	STOAUD	241	48	348 1002 553 768 130 392 253 929 328 759 546 258 898 1078 1076 221 
312	STOAUD	237	39	553 881 328 318 1154 898 474 
313	SHAAUD	188	8	1162 813 296 591 527 443 35 642 851 1066 554 233 689 927 408 1028 829 377 7 584 585 583 1132 588 926 1008 626 624 451 181 11 13 16 753 204 206 1042 693 1010 776 313 3 380 255 732 734 468 467 463 9 
315	STOAUD	232	1	105 33 1009 546 993 574 733 210 825 
318	SHAAUD	269	21	292 906 433 414 934 874 1155 1099 
319	ESTW307	238	40	1149 558 1139 518 779 922 1155 9 806 1031 114 821 483 
321	ESTW307	276	21	346 813 1182 1017 528 104 39 559 703 798 970 189 1032 1174 807 806 673 114 770 739 722 1111 1173 486 477 
323	ESTW307	44	36	438 745 91 1058 144 85 15 2 414 776 602 898 823 487 
324	ESTW307	189	32	135 976 221 
325	SHA410	48	48	591 836 380 166 807 486 
327	ESTW307	98	11	291 641 799 888 769 860 967 1102 539 982 751 
328	ESTW307	212	4	916 911 910 526 105 33 142 149 373 83 85 171 971 756 1041 120 366 365 384 789 730 733 630 870 1158 897 1087 350 674 267 264 58 57 303 1029 477 
333	STOAUD	325	54	293 196 444 106 439 235 1007 491 519 620 977 1032 1143 692 698 834 1174 575 1172 636 164 1109 600 1033 283 671 673 261 985 115 45 
336	STOAUD	28	55	1175 912 622 700 693 776 385 285 679 1093 
341	SHAAUD	257	44	713 34 1156 743 747 25 1170 588 1080 651 834 503 466 957 288 1094 775 1021 158 1118 481 471 
350	ESTW307	88	17	348 330 21 249 451 176 996 993 128 498 670 
352	ESTW307	182	50	290 333 856 743 1071 266 986 112 485 955 
355	ESTW307	83	29	590 1017 492 453 124 1177 966 425 1039 754 224 
360	ESTW307	124	38	276 742 143 132 401 89 86 540 310 839 214 676 827 1034 228 485 
363	STOAUD	189	13	38 945 768 138 588 626 864 928 548 725 466 908 280 54 895 1151 726 
365	SHAAUD	192	33	444 431 235 146 147 1007 709 395 798 245 519 518 977 883 1032 1045 1143 698 543 1016 834 575 460 934 1033 673 539 985 918 
370	SHAAUD	318	40	718 717 39 401 86 246 510 174 10 72 868 412 1109 984 227 1115 
374	SHAAUD	168	57	715 606 297 738 393 455 974 973 321 364 381 735 960 1091 877 800 51 302 853 1039 399 5 
375	ESTW307	185	41	817 274 525 408 828 459 627 653 663 124 316 360 781 676 672 853 
377	SHA410	323	40	291 1014 134 799 959 168 890 1072 112 751 
378	SHAAUD	207	52	187 833 577 256 426 
385	SHA410	245	13	606 104 902 39 439 28 933 1060 708 601 970 938 699 839 385 461 162 56 820 
386	STOAUD	201	6	191 190 432 377 376 652 650 1088 205 769 694 921 832 259 670 55 985 429 1113 1163 487 
388	SHA410	15	23	917 1081 1051 1178 245 1124 651 665 691 123 387 1095 675 777 757 567 1036 477 
395	SHA410	241	57	194 902 452 1148 320 417 1154 59 
396	SHAAUD	330	47	15 896 
399	SHA410	293	47	1183 297 905 1150 22 1136 881 78 1043 66 67 735 633 1104 737 728 483 
401	STOAUD	14	26	1122 326 415 636 
406	SHA410	317	22	346 94 785 57 
407	SHAAUD	239	9	278 869 952 287 1151 1167 
408	STOAUD	21	24	494 517 74 79 163 150 
411	STOAUD	56	38	292 1085 231 82 797 183 995 319 505 307 1038 
412	STOAUD	27	57	347 710 298 445 109 431 6 746 555 1005 24 370 511 517 971 929 72 1047 664 496 388 604 259 500 908 537 824 225 222 152 608 1111 484 
416	SHA410	169	8	709 88 799 310 388 168 1158 218 956 57 824 152 
432	SHA410	54	1	619 946 160 962 
433	ESTW307	61	46	932 514 620 862 361 788 1154 281 264 849 569 390 608 634 
436	SHAAUD	297	1	292 528 859 1085 231 932 707 87 797 183 187 189 889 995 319 577 281 1083 307 1038 474 
437	SHAAUD	132	36	30 641 437 550 791 832 368 1068 1163 
438	SHA410	323	56	101 95 1050 
439	SHAAUD	61	35	594 297 738 1025 618 656 929 324 313 537 755 728 
440	SHA410	171	49	349 900 815 1056 976 173 1126 389 390 
442	STOAUD	300	12	346 910 688 582 924 384 221 
443	SHAAUD	90	32	298 680 896 
444	SHA410	75	45	933 937 509 962 1155 855 563 1027 483 
445	SHAAUD	88	45	446 101 238 947 20 22 1132 1131 14 928 203 1040 598 999 129 574 602 502 872 1023 48 
454	STOAUD	290	4	294 275 852 900 815 742 1056 145 681 89 86 246 615 62 320 655 661 695 540 123 389 788 1109 1034 1159 1180 1112 
457	SHAAUD	46	20	199 192 441 1066 792 510 625 725 65 66 162 212 678 675 987 771 954 225 399 749 
458	SHAAUD	276	46	276 444 93 557 1052 1139 406 709 207 367 168 9 114 771 841 821 1164 223 1161 1111 
459	STOAUD	7	42	192 272 1051 623 1049 544 920 216 41 
460	SHAAUD	71	31	1183 342 233 684 686 657 1128 310 725 939 636 965 1153 1070 676 263 823 221 49 
462	STOAUD	238	14	1149 295 271 446 557 1052 922 367 855 849 390 
466	ESTW307	266	39	340 341 527 448 447 94 614 370 950 1016 254 503 630 934 919 726 486 
474	ESTW307	189	35	705 752 545 501 
476	SHA410	254	4	191 1156 1150 1132 312 3 387 782 872 801 762 116 
477	ESTW307	233	56	90 624 315 289 267 421 
478	ESTW307	33	20	813 592 275 447 37 90 141 912 687 1069 975 184 13 17 885 752 756 698 125 127 507 631 637 9 891 359 215 4 280 777 111 423 425 895 847 1165 1046 1184 1113 479 
479	ESTW307	329	45	717 240 328 1044 68 124 415 386 387 66 989 423 1165 1046 
481	ESTW307	259	37	101 36 559 1057 617 516 1040 991 126 419 1138 632 1086 1171 421 300 304 306 820 
482	SHA410	294	38	186 
483	SHA410	218	43	854 2 695 956 
484	ESTW307	30	25	1175 336 6 885 416 920 419 965 1034 
487	ESTW307	78	28	1135 1053 406 404 708 791 513 888 209 832 838 506 466 355 772 953 1159 1117 
489	SHA410	43	28	811 31 437 886 697 1091 
500	SHAAUD	137	11	340 645 332 1000 551 1054 1059 148 709 248 71 1140 664 697 998 410 367 506 893 355 672 1160 
502	SHAAUD	259	10	1040 419 803 425 
514	STOAUD	292	46	1061 1065 293 270 100 92 237 374 17 18 326 1042 1040 1043 805 381 385 162 1107 1105 1153 1083 54 532 154 158 749 
516	SHA410	194	25	559 558 685 402 703 187 189 928 833 61 256 1129 353 980 
522	SHAAUD	199	24	949 893 
528	SHA410	282	33	346 341 1182 271 279 1067 521 640 970 514 1090 803 151 42 480 475 
532	SHA410	245	19	37 1099 772 849 1111 
533	STOAUD	320	2	1130 244 417 
535	STOAUD	174	49	1065 299 642 844 684 81 790 207 415 350 269 227 1021 639 
536	SHA410	118	7	1150 616 375 317 780 802 1003 118 739 
543	ESTW307	239	8	
545	SHAAUD	228	26	717 916 857 684 628 264 701 568 
546	STOAUD	227	40	714 1103 1064 529 744 992 617 688 686 25 84 979 179 831 322 70 662 312 368 605 60 469 876 52 535 
547	ESTW307	8	44	343 810 106 741 742 230 1059 491 709 798 601 977 71 671 953 841 
548	STOAUD	107	25	343 810 106 645 332 1000 741 551 230 1054 949 491 601 1110 883 1140 664 697 998 410 250 164 600 893 355 671 672 988 841 821 1160 159 46 
549	SHAAUD	77	25	714 711 445 905 1066 555 554 232 912 684 1069 372 7 1080 184 12 70 694 414 3 783 1073 288 428 824 1166 471 
553	SHA410	85	11	448 103 867 200 780 732 802 1003 281 269 118 739 
554	SHAAUD	19	27	616 384 1172 
557	SHA410	187	50	437 132 936 822 
560	SHA410	54	30	994 1135 93 459 327 
563	ESTW307	261	48	716 1103 35 436 335 26 933 1060 170 656 978 1125 12 662 1128 1010 318 1177 861 385 647 767 1079 282 537 981 823 1127 1037 154 
572	SHA410	267	2	1098 145 681 246 62 661 412 361 1021 
573	SHAAUD	296	6	1144 816 913 522 431 147 1005 406 1176 798 245 247 518 1012 779 1045 543 1016 410 934 356 1074 539 953 918 567 1117 477 
574	STOAUD	85	53	643 438 237 1055 792 450 16 1140 664 315 860 1094 982 
576	SHA410	68	32	528 859 622 455 182 77 1041 769 868 860 762 56 853 
577	SHAAUD	196	55	1135 903 848 27 925 211 1169 283 
580	SHA410	1	24	743 890 485 
581	STOAUD	254	32	454 255 1157 767 536 777 722 
585	SHAAUD	97	7	343 911 910 291 191 1013 430 334 819 131 83 799 243 459 179 62 1032 1141 667 498 365 360 959 1072 58 55 52 539 113 424 40 1185 
590	STOAUD	39	51	1175 1183 1162 1103 592 1017 38 1120 22 170 414 66 766 895 728 5 
596	STOAUD	30	18	748 922 1075 
603	ESTW307	85	42	438 859 237 941 16 655 315 367 860 1094 982 
605	STOAUD	196	45	780 984 
606	SHA410	180	44	345 817 1014 852 667 160 963 873 763 1038 
610	ESTW307	179	15	620 77 763 533 983 
611	SHAAUD	251	17	299 90 559 685 586 180 863 756 1138 577 
612	STOAUD	205	33	1061 234 703 515 175 464 470 
613	SHA410	202	14	643 943 402 792 
615	ESTW307	134	13	296 192 277 100 239 623 704 705 89 243 1080 659 1042 415 166 161 961 357 807 1074 846 155 638 1163 
618	ESTW307	4	49	1064 199 270 527 36 337 992 377 793 580 1136 11 10 18 79 413 169 1129 801 1031 306 824 750 224 1024 724 
620	SHA410	71	12	74 631 
627	SHA410	112	36	735 223 220 
629	ESTW307	104	19	334 822 
631	ESTW307	225	7	196 439 742 147 1005 395 589 519 518 977 883 208 1045 668 664 692 697 698 836 1174 1033 283 261 985 115 159 477 
632	SHA410	134	53	342 1064 738 520 1025 39 38 34 1120 740 1057 1058 992 613 1139 139 403 1028 585 453 455 174 19 669 68 413 776 318 836 368 364 386 939 500 467 461 165 162 210 957 678 679 1092 1031 116 110 820 1039 750 229 
641	SHAAUD	196	18	118 
651	STOAUD	296	0	343 710 298 299 597 195 193 445 642 339 99 96 746 555 230 613 689 137 490 24 23 404 402 932 937 1069 628 370 374 393 392 80 583 580 177 974 1123 651 18 884 887 205 72 804 669 125 1011 921 388 259 
655	ESTW307	50	14	1144 913 522 247 1140 567 
659	SHA410	180	0	644 558 147 686 133 130 7 625 182 8 127 839 389 65 69 503 936 212 536 827 224 722 
669	STOAUD	224	20	521 1025 95 552 514 660 126 411 508 169 894 648 1086 306 1001 151 153 1118 480 475 
675	STOAUD	76	21	197 273 28 1060 795 188 202 546 868 961 1073 537 827 560 
679	ESTW307	282	5	915 237 
684	SHA410	261	46	606 793 456 10 202 76 1044 8 549 363 787 357 1094 775 724 722 723 721 635 43 
686	ESTW307	77	6	902 16 659 1146 1154 1078 300 
687	ESTW307	43	43	1145 744 683 23 1084 1011 361 1174 69 985 
689	SHA410	36	17	854 15 572 
704	STOAUD	318	37	1162 606 443 854 740 1058 623 405 408 758 371 377 240 658 653 880 204 206 1044 1049 699 542 544 364 365 783 163 891 429 1127 1046 1023 44 43 1114 
707	SHAAUD	196	2	903 943 925 952 1169 283 118 739 
709	SHA410	56	16	1175 1183 1162 1103 592 196 1017 441 447 106 38 905 336 1120 236 495 139 22 408 1069 1060 700 1170 170 180 1125 752 324 759 78 411 364 66 250 960 1104 766 957 1079 777 895 750 728 5 483 
714	STOAUD	67	3	813 736 599 1120 1 940 927 937 704 81 926 456 185 1122 884 202 695 68 806 268 701 423 755 227 
717	STOAUD	182	22	275 330 550 144 249 511 176 76 216 263 262 826 1024 1026 1161 
718	STOAUD	202	23	204 889 75 544 676 
720	ESTW307	95	34	748 1050 940 623 29 379 627 171 1148 202 549 417 311 789 64 1099 775 822 223 
731	SHA410	228	29	298 194 99 1098 128 835 892 
732	ESTW307	68	0	97 171 1179 319 
734	SHA410	112	55	172 329 
736	STOAUD	311	19	583 
737	SHAAUD	119	30	593 195 445 100 339 99 96 236 137 24 23 927 402 937 628 80 585 580 926 177 974 651 18 804 669 125 1011 1134 830 362 507 637 167 1091 879 1152 1070 284 1083 263 262 538 114 110 424 825 826 1166 1027 484 
740	SHAAUD	159	5	1110 1123 837 250 1172 636 463 164 531 305 159 45 
741	ESTW307	196	9	719 1018 241 964 800 309 749 
746	SHAAUD	218	50	857 186 655 1159 565 1180 
747	SHA410	166	5	
