Students	1176
152	21 53 89 226
153	49 194 142 175
154	194 242 128 107
155	57 59 67 8
156	233 72 107 254
157	157 26 218 240
158	82 105 115 83
159	64 62 30 51
160	117 191 86 7
161	213 185 220 70
162	22 189 54 198
163	42 257 151 227
164	161 141 207 21
165	35 115 92 193
166	202 109 233 245
167	7 192 6 178
168	139 147 124 194
169	91 55 48 135
170	251 83 74 224
171	28 178 80 242
172	186 46 231 122
173	207 66 29 221
174	109 51 93 44
175	206 53 88 61
176	196 204 76 225
177	16 141 90 89
178	133 257 177 13
179	69 112 165 51
180	73 153 260 47
181	68 100 71 204
182	131 224 26 85
183	2 25 209 36
184	205 141 35 166
185	218 233 248 7
186	52 159 188 126
187	12 75 138 8
188	211 71 26 252
189	239 42 123 244
190	217 164 178 86
191	211 212 229 256
192	147 106 257 73
193	55 37 65 38
194	213 55 48 162
195	148 217 216 246
196	152 199 253 150
197	97 243 47 108
198	138 203 157 40
199	256 105 150 155
200	72 18 23 144
201	242 24 214 233
202	157 220 153 255
203	135 213 121 197
204	98 41 257 139
205	57 3 18 156
206	112 197 118 209
207	204 225 142 222
208	191 224 148 151
209	235 164 237 200
210	217 148 76 179
211	1 92 15 53
212	244 1 138 56
213	12 254 78 21
214	29 153 158 170
215	51 155 116 39
216	163 51 79 68
217	218 71 61 214
218	241 107 105 195
219	207 177 164 97
220	165 103 229 187
221	100 173 134 114
222	187 144 258 192
223	201 171 173 224
224	46 104 123 193
225	45 190 220 34
226	163 235 7 121
227	117 15 260 91
228	205 185 20 14
229	47 105 46 108
230	28 179 115 123
231	164 93 251 79
232	194 125 83 115
233	180 242 135 207
234	186 167 93 150
235	193 59 70 161
236	39 125 54 36
237	65 252 157 251
238	198 140 34 83
239	6 195 129 188
240	226 69 161 47
241	108 5 29 42
242	203 95 19 154
243	9 254 2 189
244	25 252 177 38
245	48 192 84 178
246	12 181 150 227
247	8 105 186 199
248	48 127 93 212
249	57 217 127 155
250	144 27 155 203
251	241 83 143 186
252	252 229 242 161
253	81 157 46 34
254	60 169 200 246
255	231 20 185 247
256	216 74 32 258
257	178 87 120 112
258	70 213 170 105
259	219 195 245 201
260	30 189 29 245
261	19 20 181 128
262	216 100 210 5
263	102 185 109 176
264	192 143 178 120
265	178 141 57 139
266	153 31 183 243
267	29 13 173 16
268	96 55 160 117
269	37 65 42 193
270	81 184 180 249
271	74 55 48 91
272	202 76 109 61
273	106 211 259 152
274	128 172 112 226
275	145 71 111 110
276	58 39 216 219
277	80 119 178 177
278	239 185 145 196
279	2 103 19 78
280	195 51 121 11
281	49 32 118 68
282	147 126 199 252
283	29 119 198 246
284	152 85 231 243
285	102 99 152 108
286	205 191 260 122
287	95 33 202 119
288	174 219 151 87
289	199 234 140 33
290	236 16 38 59
291	80 105 201 59
292	178 30 237 21
293	143 252 145 82
294	82 92 119 53
295	132 45 152 250
296	49 79 188 100
297	122 68 251 86
298	230 252 132 175
299	121 143 95 163
300	217 103 166 253
301	76 145 177 204
302	240 161 243 130
303	29 164 165 223
304	104 116 81 222
305	63 189 216 3
306	135 260 159 8
307	73 249 225 71
308	173 14 216 226
309	9 68 103 46
310	58 14 39 232
311	106 92 124 6
312	23 157 245 230
313	246 32 100 177
314	148 57 136 103
315	241 195 44 2
316	126 145 34 195
317	106 94 75 60
318	209 12 46 226
319	74 212 222 54
320	17 225 119 77
321	216 8 156 76
322	170 260 150 56
323	82 164 68 219
324	45 187 59 105
325	131 62 166 116
326	100 224 143 10
327	134 67 126 87
328	179 86 134 71
329	73 7 197 38
330	169 163 158 216
331	71 260 180 126
332	75 137 218 175
333	116 257 170 83
334	200 214 145 241
335	67 152 168 33
336	15 155 80 237
337	155 160 250 95
338	131 159 138 259
339	203 204 123 95
340	205 76 179 134
341	122 188 161 62
342	199 53 16 179
343	29 112 94 204
344	142 27 59 198
345	221 69 227 170
346	8 95 26 44
347	29 205 32 52
348	102 57 31 134
349	6 92 250 162
350	99 260 19 172
351	164 171 217 224
352	83 217 260 92
353	101 208 217 112
354	31 97 54 141
355	220 253 46 206
356	171 227 128 258
357	135 68 152 155
358	181 241 82 94
359	192 196 91 113
360	206 68 22 203
361	230 211 70 118
362	48 184 46 215
363	34 159 143 198
364	99 159 231 215
365	92 157 176 26
366	178 77 153 229
367	160 2 115 4
368	174 33 126 103
369	184 100 145 212
370	28 240 218 241
371	35 2 60 131
372	86 169 105 3
373	132 174 56 116
374	197 147 32 86
375	121 87 141 252
376	75 57 234 243
377	5 32 28 65
378	46 5 70 126
379	218 207 210 231
380	87 108 111 118
381	7 36 181 46
382	63 12 230 251
383	226 93 247 207
384	68 175 126 154
385	94 247 6 207
386	202 1 30 146
387	142 52 140 247
388	93 30 190 58
389	123 226 204 95
390	60 141 182 54
391	246 141 198 249
392	108 161 163 171
393	103 215 193 35
394	81 1 32 236
395	34 208 59 180
396	42 238 50 233
397	95 102 29 114
398	195 42 177 229
399	148 130 76 105
400	167 189 67 181
401	96 132 202 235
402	91 153 202 157
403	251 122 108 176
404	201 38 9 16
405	8 87 121 42
406	12 114 201 104
407	153 236 6 31
408	178 128 197 22
409	2 107 221 33
410	154 199 69 53
411	113 212 218 96
412	89 171 27 135
413	181 17 85 222
414	15 129 55 168
415	243 126 213 77
416	252 68 69 2
417	10 118 48 13
418	211 126 61 189
419	59 75 58 191
420	260 130 188 247
421	246 259 190 212
422	167 47 27 5
423	181 58 112 230
424	90 220 201 130
425	46 44 3 83
426	232 198 183 90
427	184 206 83 210
428	235 25 79 83
429	189 236 36 130
430	179 187 2 104
431	192 11 97 164
432	169 98 111 39
433	16 26 124 4
434	193 74 221 204
435	87 245 205 91
436	196 13 231 83
437	192 241 27 244
438	65 31 136 88
439	159 111 54 110
440	132 184 114 174
441	61 260 71 19
442	212 55 132 230
443	53 186 251 125
444	11 181 140 166
445	26 155 243 195
446	145 242 219 162
447	229 205 222 224
448	34 205 26 116
449	166 101 106 143
450	183 149 243 224
451	70 32 231 214
452	133 256 32 215
453	135 203 78 96
454	248 219 214 92
455	9 129 152 149
456	156 116 188 43
457	237 186 70 92
458	219 84 184 189
459	77 46 159 85
460	15 253 19 151
461	26 165 118 35
462	74 42 60 194
463	211 140 205 251
464	20 14 202 188
465	20 137 82 95
466	34 153 81 16
467	142 56 80 128
468	42 243 1 45
469	221 213 114 149
470	78 206 187 56
471	260 37 142 55
472	151 113 173 97
473	201 14 234 235
474	148 227 184 57
475	231 36 48 257
476	74 68 4 109
477	204 97 89 10
478	2 174 16 89
479	230 210 84 177
480	95 157 2 245
481	40 246 22 178
482	70 92 11 130
483	131 43 110 27
484	23 245 150 186
485	101 240 181 66
486	85 197 37 2
487	142 145 62 93
488	150 60 93 192
489	88 142 231 153
490	127 194 178 143
491	173 188 44 137
492	159 220 130 244
493	182 118 179 237
494	182 42 158 173
495	249 35 150 247
496	68 251 150 193
497	118 89 55 88
498	109 31 10 16
499	168 230 28 165
500	52 78 201 29
501	241 141 127 154
502	176 187 116 147
503	74 213 5 131
504	240 89 207 228
505	130 28 48 209
506	23 109 132 155
507	8 171 2 136
508	73 132 64 97
509	48 140 47 139
510	217 161 255 87
511	232 76 35 248
512	11 226 104 206
513	145 59 84 99
514	254 69 42 25
515	11 141 196 60
516	86 97 150 184
517	208 46 213 206
518	161 127 209 133
519	147 9 154 50
520	49 182 155 178
521	212 185 23 259
522	183 135 140 73
523	246 97 189 172
524	48 259 255 178
525	30 21 44 146
526	139 34 119 113
527	221 162 12 21
528	117 259 172 242
529	113 75 46 106
530	17 46 70 119
531	230 144 21 120
532	177 97 194 84
533	248 14 151 112
534	37 18 59 25
535	239 52 208 58
536	170 200 32 63
537	2 220 193 63
538	97 71 117 142
539	137 36 101 159
540	3 18 94 212
541	41 160 48 187
542	133 85 200 119
543	235 130 163 139
544	88 222 183 77
545	235 112 149 143
546	84 12 64 238
547	6 32 230 193
548	15 31 220 131
549	116 246 242 20
550	199 223 34 202
551	174 11 141 126
552	57 183 61 50
553	57 121 3 37
554	197 70 23 242
555	48 163 215 29
556	166 47 19 182
557	28 163 236 29
558	25 230 258 110
559	7 31 77 74
560	12 23 61 76
561	174 252 83 65
562	77 121 168 124
563	121 95 141 184
564	27 209 186 253
565	196 233 15 26
566	100 238 44 214
567	16 246 196 149
568	145 115 116 194
569	68 210 195 157
570	242 77 250 191
571	25 69 36 205
572	132 124 141 12
573	120 193 16 222
574	33 125 36 136
575	7 64 31 150
576	75 237 89 37
577	194 191 45 214
578	164 54 73 108
579	150 32 207 224
580	35 33 56 212
581	125 167 202 52
582	185 147 32 207
583	79 102 16 191
584	44 20 54 39
585	241 167 9 237
586	197 170 59 106
587	124 237 202 13
588	6 211 117 41
589	30 135 40 190
590	162 21 187 234
591	132 232 41 79
592	174 111 212 152
593	44 168 234 191
594	81 63 223 83
595	213 14 22 190
596	123 35 255 252
597	57 82 135 8
598	72 214 216 28
599	66 208 142 183
600	252 40 220 158
601	168 50 203 2
602	89 98 85 141
603	96 76 155 243
604	9 145 133 106
605	166 29 74 159
606	168 69 215 152
607	101 200 142 21
608	117 100 99 234
609	111 144 73 129
610	26 83 172 164
611	141 155 76 175
612	11 142 6 209
613	157 108 138 13
614	80 255 61 162
615	21 195 249 144
616	220 106 235 249
617	99 260 21 150
618	244 205 3 126
619	72 211 52 6
620	8 32 133 200
621	80 245 46 236
622	132 39 238 27
623	177 102 155 123
624	123 175 163 246
625	11 1 30 251
626	52 222 228 110
627	135 7 161 91
628	166 5 53 90
629	245 183 187 138
630	26 223 114 240
631	174 32 1 250
632	151 229 71 65
633	81 76 15 207
634	16 163 199 24
635	157 123 100 185
636	56 143 28 219
637	232 188 255 138
638	235 36 93 253
639	22 246 7 24
640	225 46 53 27
641	123 120 74 11
642	9 95 244 132
643	21 72 44 234
644	34 206 176 242
645	213 205 5 70
646	9 213 133 179
647	51 149 34 37
648	247 6 191 97
649	214 93 63 245
650	46 198 128 220
651	157 246 162 96
652	226 201 57 240
653	9 30 208 70
654	16 255 257 202
655	190 8 226 79
656	230 91 123 46
657	233 213 205 173
658	207 49 152 145
659	58 44 132 31
660	104 194 244 92
661	94 201 235 84
662	109 113 59 58
663	240 155 102 168
664	27 25 73 125
665	191 132 212 214
666	135 47 11 178
667	225 243 183 98
668	223 144 247 52
669	230 137 51 257
670	55 218 58 141
671	144 190 22 32
672	236 7 114 143
673	57 95 35 165
674	252 234 70 174
675	5 245 157 146
676	250 149 185 44
677	4 144 5 13
678	241 20 70 195
679	109 145 218 38
680	257 107 127 192
681	6 62 26 65
682	170 258 251 32
683	41 197 97 17
684	199 196 108 169
685	114 148 99 98
686	151 83 205 156
687	214 87 115 53
688	132 10 74 48
689	167 28 126 205
690	125 126 45 35
691	101 61 159 89
692	44 54 211 192
693	93 217 170 187
694	196 74 187 139
695	129 120 162 3
696	45 14 185 215
697	7 136 29 137
698	111 16 36 135
699	206 187 228 199
700	187 238 251 237
701	167 150 74 241
702	10 59 250 230
703	137 131 44 194
704	231 32 161 83
705	84 158 198 235
706	93 126 148 10
707	139 152 217 53
708	2 123 200 78
709	73 252 27 104
710	29 107 213 190
711	193 194 206 105
712	114 116 73 54
713	73 210 227 64
714	175 52 214 176
715	53 207 33 132
716	25 157 116 200
717	102 233 43 248
718	135 9 129 4
719	188 204 154 136
720	12 1 110 78
721	17 26 7 231
722	173 247 68 177
723	251 99 158 75
724	61 234 19 159
725	238 113 90 167
726	192 138 260 57
727	90 11 256 93
728	8 257 15 56
729	22 164 24 174
730	124 52 147 179
731	15 18 180 236
732	241 181 240 1
733	102 223 30 86
734	146 12 126 233
735	252 64 166 17
736	258 178 109 174
737	175 115 50 219
738	217 171 205 126
739	68 224 165 40
740	190 28 154 162
741	204 147 9 209
742	84 121 14 158
743	6 109 7 181
744	102 80 103 52
745	37 71 123 53
746	162 136 24 54
747	56 86 184 72
748	245 240 226 85
749	198 77 7 46
750	153 198 237 43
751	171 77 114 132
752	53 162 31 259
753	52 125 136 231
754	94 20 231 200
755	4 79 183 197
756	226 256 172 60
757	222 226 148 62
758	30 237 54 90
759	234 96 146 91
760	110 46 228 84
761	128 183 250 96
762	53 15 256 146
763	112 51 107 44
764	121 148 157 8
765	235 89 37 119
766	233 41 158 215
767	25 26 153 228
768	197 247 3 215
769	204 191 9 220
770	94 148 251 50
771	26 38 66 202
772	161 142 33 40
773	17 196 25 212
774	59 227 57 72
775	179 246 8 231
776	144 199 154 128
777	115 145 5 238
778	153 43 49 17
779	72 70 167 242
780	118 53 253 218
781	75 242 99 156
782	155 120 114 146
783	22 106 115 73
784	126 238 130 66
785	53 9 161 80
786	224 123 214 222
787	176 195 58 196
788	223 50 73 52
789	140 165 85 44
790	9 214 26 183
791	127 257 9 45
792	60 153 230 132
793	23 255 235 128
794	39 196 37 223
795	182 42 244 173
796	63 111 257 143
797	146 177 75 46
798	189 52 180 27
799	53 138 42 117
800	204 133 6 137
801	102 259 184 246
802	127 224 45 174
803	252 34 260 39
804	69 178 166 18
805	162 236 214 18
806	157 251 70 112
807	252 66 75 182
808	254 69 234 21
809	155 125 79 165
810	6 251 73 150
811	190 164 159 123
812	28 180 31 160
813	221 23 18 151
814	229 187 197 5
815	198 96 140 147
816	195 31 94 24
817	127 198 5 162
818	18 175 98 95
819	12 141 153 105
820	83 37 199 215
821	95 118 73 63
822	47 57 232 125
823	38 79 193 131
824	63 193 144 251
825	237 139 147 68
826	238 205 41 7
827	168 11 12 85
828	33 222 18 85
829	158 20 173 87
830	259 10 248 242
831	198 34 52 71
832	208 79 133 145
833	252 214 28 227
834	190 108 75 162
835	119 68 196 108
836	149 78 168 138
837	24 50 38 259
838	144 91 257 241
839	19 157 54 238
840	199 141 56 176
841	156 204 13 89
842	141 158 164 190
843	221 198 74 24
844	50 92 186 17
845	122 221 51 236
846	46 50 210 95
847	82 165 141 102
848	185 85 41 64
849	236 251 200 83
850	80 174 217 79
851	208 190 238 101
852	96 164 135 196
853	131 73 84 129
854	25 120 2 147
855	6 207 95 25
856	160 208 148 228
857	188 67 124 26
858	253 60 228 57
859	251 113 145 151
860	166 172 140 156
861	198 87 231 217
862	118 215 142 56
863	142 225 52 112
864	247 228 206 191
865	166 143 253 117
866	6 213 217 56
867	11 59 74 102
868	150 259 76 243
869	160 195 101 198
870	135 96 76 190
871	225 155 53 146
872	84 14 28 85
873	178 26 153 246
874	73 246 63 223
875	32 249 241 172
876	243 190 110 20
877	97 227 173 84
878	123 174 29 212
879	190 79 239 143
880	200 256 66 27
881	212 128 33 249
882	65 223 244 250
883	250 51 27 126
884	229 175 129 87
885	205 210 122 42
886	153 48 101 199
887	202 199 165 112
888	186 21 246 104
889	17 161 244 70
890	110 156 132 188
891	233 80 147 259
892	180 136 48 212
893	200 183 38 97
894	10 69 190 111
895	234 223 172 180
896	59 128 101 14
897	152 212 131 242
898	253 21 220 68
899	219 91 256 172
900	32 17 115 9
901	6 126 164 98
902	225 175 243 113
903	65 63 251 9
904	73 111 1 255
905	21 136 35 43
906	240 208 131 94
907	95 199 24 152
908	52 210 87 156
909	251 147 128 240
910	10 163 78 151
911	19 34 122 90
912	185 46 13 23
913	204 38 243 154
914	173 86 150 174
915	234 97 202 80
916	241 126 33 117
917	86 1 125 191
918	7 230 194 243
919	240 171 134 117
920	84 72 199 259
921	96 177 152 105
922	65 33 183 207
923	154 61 130 162
924	114 1 13 47
925	16 171 23 68
926	119 92 76 28
927	188 92 245 30
928	176 87 104 13
929	106 131 84 217
930	259 22 166 235
931	56 222 177 231
932	16 75 240 237
933	212 169 18 71
934	194 93 63 54
935	53 85 208 17
936	6 198 51 245
937	197 156 230 102
938	231 53 195 60
939	110 88 209 141
940	174 73 74 200
941	119 99 2 197
942	101 43 56 212
943	224 169 43 189
944	179 34 127 6
945	235 165 71 50
946	254 238 5 68
947	42 235 203 103
948	142 220 219 232
949	95 52 144 82
950	83 66 92 46
951	97 71 215 90
952	256 77 196 250
953	7 200 101 124
954	190 35 2 258
955	179 15 132 108
956	206 78 175 121
957	160 3 76 96
958	124 136 2 196
959	158 200 82 47
960	49 231 191 195
961	37 217 49 52
962	55 50 24 29
963	110 6 189 259
964	3 59 62 177
965	22 88 176 39
966	206 202 6 107
967	107 131 144 110
968	71 69 214 37
969	190 110 156 243
970	177 216 19 149
971	151 130 101 71
972	196 202 194 127
973	136 49 65 220
974	46 34 68 214
975	222 252 28 65
976	47 146 116 166
977	139 196 248 99
978	31 217 43 254
979	71 180 131 36
980	73 158 88 206
981	29 7 198 12
982	187 42 196 160
983	203 241 169 192
984	168 157 256 54
985	218 203 171 118
986	163 196 90 185
987	216 201 204 174
988	21 260 100 219
989	187 100 175 240
990	128 31 246 122
991	120 161 227 95
992	69 55 64 169
993	217 186 193 8
994	140 190 141 102
995	167 122 55 233
996	238 163 131 203
997	233 20 49 227
998	239 191 32 242
999	252 2 171 103
1000	220 130 101 6
1001	112 54 45 258
1002	230 85 140 46
1003	15 155 97 77
1004	144 241 221 55
1005	135 174 140 51
1006	260 53 108 111
1007	58 188 52 152
1008	55 114 39 116
1009	92 59 198 188
1010	254 191 197 167
1011	58 128 260 215
1012	71 249 231 94
1013	257 253 29 131
1014	223 182 257 19
1015	60 42 160 177
1016	257 29 213 202
1017	19 80 28 130
1018	150 200 124 163
1019	79 233 65 14
1020	153 51 50 110
1021	123 24 232 72
1022	47 7 230 184
1023	251 53 125 71
1024	235 57 128 178
1025	260 133 45 99
1026	54 70 228 157
1027	181 40 209 186
1028	223 204 118 186
1029	129 196 39 3
1030	223 250 182 122
1031	42 222 111 15
1032	75 25 151 131
1033	190 238 1 14
1034	83 145 8 157
1035	32 208 240 75
1036	36 121 126 229
1037	162 19 99 105
1038	16 141 259 150
1039	84 59 170 177
1040	28 174 247 59
1041	190 134 216 2
1042	210 230 59 149
1043	215 185 153 206
1044	248 178 46 247
1045	136 44 256 117
1046	169 35 243 228
1047	179 246 234 113
1048	140 52 133 171
1049	87 75 223 203
1050	62 119 98 242
1051	176 66 174 107
1052	178 48 14 25
1053	27 39 207 226
1054	77 97 156 154
1055	250 181 33 244
1056	62 115 111 164
1057	53 155 94 58
1058	76 177 84 184
1059	173 64 147 23
1060	29 16 62 7
1061	175 121 9 35
1062	227 37 220 171
1063	122 113 22 11
1064	48 174 74 12
1065	134 196 5 213
1066	151 205 147 224
1067	166 112 105 255
1068	154 42 72 111
1069	118 39 66 216
1070	63 164 55 167
1071	26 81 163 230
1072	106 86 153 35
1073	240 168 95 10
1074	147 163 94 142
1075	207 95 126 178
1076	108 132 245 72
1077	177 46 221 241
1078	62 185 87 213
1079	80 210 49 89
1080	30 12 65 163
1081	37 254 146 40
1082	220 36 94 10
1083	111 49 161 155
1084	248 29 37 253
1085	162 39 209 52
1086	56 137 44 85
1087	134 255 190 63
1088	256 47 239 214
1089	33 256 154 21
1090	257 86 70 181
1091	220 30 94 37
1092	99 54 229 30
1093	86 247 233 126
1094	139 177 171 97
1095	77 118 237 86
1096	149 108 79 244
1097	228 121 227 203
1098	136 192 181 61
1099	4 122 127 234
1100	235 32 143 135
1101	51 224 120 200
1102	187 24 92 180
1103	11 163 141 160
1104	10 22 8 226
1105	99 30 206 40
1106	229 204 44 147
1107	231 56 12 80
1108	154 58 6 235
1109	232 73 83 8
1110	204 1 126 233
1111	163 167 208 159
1112	171 210 155 240
1113	37 189 165 248
1114	196 146 234 182
1115	1 116 96 138
1116	58 94 23 196
1117	38 141 85 66
1118	169 259 19 143
1119	136 187 243 169
1120	237 240 250 224
1121	198 104 48 100
1122	137 187 59 210
1123	87 166 246 181
1124	97 189 234 235
1125	79 21 166 91
1126	27 11 67 16
1127	20 112 209 205
1128	31 254 137 181
1129	185 5 133 70
1130	156 193 222 60
1131	23 124 196 126
1132	28 183 72 88
1133	21 69 254 221
1134	195 113 43 209
1135	260 184 234 89
1136	12 248 96 168
1137	225 119 48 211
1138	45 58 135 256
1139	90 8 58 171
1140	130 260 97 61
1141	87 40 61 32
1142	247 143 206 106
1143	183 65 28 201
1144	249 152 241 145
1145	234 58 246 96
1146	135 38 143 27
1147	144 23 19 240
1148	42 154 228 62
1149	174 191 76 221
1150	92 48 76 153
1151	101 65 168 205
1152	87 260 71 58
1153	210 198 120 65
1154	37 256 107 59
1155	219 189 120 69
1156	6 5 260 115
1157	171 1 231 238
1158	95 230 182 67
1159	209 188 21 35
1160	187 176 248 32
1161	180 62 193 35
1162	131 50 134 33
1163	214 248 33 150
1164	130 89 6 229
1165	186 230 187 249
1166	73 57 247 16
1167	66 32 179 194
1168	84 249 86 66
1169	234 65 21 105
1170	176 235 153 247
1171	238 233 34 232
1172	183 229 127 87
1173	156 77 85 35
1174	152 132 188 256
1175	82 180 189 173
1176	248 179 208 152
