Students	1176
314	236 81 189 227 25
315	87 108 135 188 177
316	79 174 260
317	235 233 139 238
318	69 219 73
319	192 234 31 67
320	21 33 63 247
321	218 140 9
322	107 120 102 139
323	100 179 246 38 47
324	92 216 165
325	104 102 4
326	163 2 99 209 8
327	252 232 240 15 143
328	5 180 250 211
329	161 55 190 106
330	37 228 5 109 16
331	95 78 104 259
332	159 2 107
333	73 37 229 68 3
334	168 241 98 109 127
335	167 214 57 62 131
336	34 260 137 183
337	99 249 206
338	67 63 93 232
339	20 100 257 175
340	217 93 38
341	119 74 153
342	248 15 4
343	2 246 172 45
344	236 135 151
345	247 56 142 132 113
346	154 195 53 141 223
347	94 43 53
348	73 249 228 29
349	243 38 179
350	187 59 218 204
351	178 65 198
352	182 140 248
353	148 177 14
354	214 34 120 18 129
355	79 253 21
356	162 234 106 173 221
357	169 11 76 74
358	255 210 200 219 64
359	73 148 162 206 226
360	182 199 39 240 115
361	163 3 95 133
362	110 125 88 45
363	37 140 102 169 161
364	28 43 239 190
365	102 196 162 180
366	101 226 148 212 175
367	92 214 51 161
368	239 186 70
369	131 84 115 24
370	91 5 260 68
371	162 207 1 89 128
372	96 50 95 171
373	207 67 187 84 90
374	236 191 99 47 97
375	159 88 75 249 82
376	156 37 10
377	197 128 63 241
378	80 87 66
379	17 230 67
380	212 135 78 254 189
381	67 102 138 77
382	213 176 104 164 39
383	144 182 234 139
384	106 234 168
385	178 228 32 3
386	182 97 167 31 24
387	106 122 135 115
388	231 239 76
389	197 77 156
390	218 97 235
391	209 24 61
392	149 109 115 51 259
393	17 169 29 217 253
394	242 256 225 251
395	7 202 112 231 70
396	225 108 159 121
397	97 15 159 241 155
398	140 45 245
399	175 17 33 105 226
400	34 25 87
401	247 121 175 5 34
402	248 256 61 7
403	177 205 20
404	236 3 152
405	96 184 144 85
406	10 120 233 163 107
407	113 173 247 39 29
408	50 67 222
409	47 209 227 190 123
410	59 232 81 230 168
411	257 160 85 176 194
412	111 74 58 207 235
413	226 128 204 241 46
414	238 219 245
415	109 137 59
416	122 49 13 239 78
417	259 173 218 64
418	209 100 7 185 171
419	100 171 105 46 156
420	89 167 158 24 155
421	86 158 49 63 38
422	160 215 142 244
423	249 196 1 99
424	20 61 135 152
425	175 208 212 49
426	222 127 10
427	198 165 100 148 90
428	35 56 237 19
429	64 127 236 86
430	251 194 63
431	103 134 51 105
432	101 154 76 104
433	92 122 222 204 12
434	166 198 218 26 50
435	243 168 120 3 222
436	47 187 142
437	42 223 38
438	192 90 103 202 101
439	216 58 245 89
440	11 14 120 229
441	76 136 174 96
442	91 250 249 106
443	14 29 112 105 177
444	227 112 68 223
445	48 256 114 227 252
446	122 99 84
447	31 146 16 204 171
448	140 224 231 100 218
449	192 198 252 165 194
450	111 180 15 247
451	11 156 37 30
452	59 44 98 252
453	31 90 230 201 156
454	73 185 119 253
455	112 108 138 85
456	73 173 228 155
457	38 208 256
458	201 110 190 96
459	142 144 161
460	113 197 189
461	209 258 196 4 228
462	7 248 47 195
463	143 244 209 235
464	140 100 96
465	153 175 33 219
466	109 74 196 223 44
467	3 130 53 191 30
468	186 181 219 184
469	215 15 12 200
470	257 113 91 9 33
471	259 81 75
472	98 179 102 211
473	98 250 62
474	161 164 43 205 8
475	96 69 142
476	246 180 89 252
477	119 111 41 71 47
478	142 122 158
479	54 32 12 157 31
480	224 49 65
481	22 164 4 186 243
482	251 111 109
483	56 151 26 181
484	208 89 226
485	201 218 8
486	14 192 68 91 47
487	234 191 54 131
488	118 137 88 42
489	248 166 229 71 112
490	22 185 201
491	77 40 253
492	34 185 120
493	134 110 196 247 131
494	241 252 209 138
495	187 127 193
496	92 141 241 159 16
497	232 7 187
498	252 209 134 235
499	114 221 6 178
500	59 198 56 67
501	186 88 193 101
502	48 127 99 198
503	173 169 137
504	221 29 235 168
505	56 175 150 71 109
506	179 79 85 155 185
507	168 121 163
508	126 132 177 222
509	251 189 46
510	210 156 193
511	163 66 48 181 35
512	80 190 41 215 157
513	213 200 235 15 28
514	244 210 233
515	247 133 169 183
516	239 124 210 34
517	253 111 55 152 185
518	177 12 134 210 59
519	250 195 4
520	53 160 93 212 208
521	206 229 231
522	156 73 67
523	122 13 165 147 167
524	47 83 4 71
525	253 28 117
526	202 135 228 29 36
527	137 178 91 168
528	36 204 215 148 224
529	98 252 241 133
530	172 166 12 14 74
531	205 180 72
532	197 97 108 190 180
533	81 95 80 7 249
534	149 64 133 197 9
535	135 184 220 207
536	24 193 104 82 140
537	170 9 120
538	19 47 11
539	39 13 29 87 161
540	89 107 244 47
541	14 84 114
542	228 227 226
543	168 30 177 81
544	163 104 120 121 217
545	82 68 208 50 191
546	164 7 3
547	73 98 154 142
548	60 50 124
549	138 196 144 239
550	58 192 162 227 161
551	112 244 201 59
552	56 120 75
553	260 25 61 49
554	237 78 170 81
555	45 40 201 177
556	222 49 198
557	196 26 13
558	30 175 27 107 153
559	243 8 217 219 145
560	245 123 169 131
561	185 166 253 15 137
562	29 242 229 73 52
563	137 65 5 43 179
564	224 134 136 254
565	208 168 41
566	5 57 217
567	130 229 50 122
568	58 187 42 76 29
569	220 211 205 162
570	144 209 245
571	229 193 138 215
572	25 3 98 138 37
573	246 30 32
574	177 225 162 42
575	89 114 177
576	37 111 30 256
577	105 125 221
578	131 84 97
579	104 42 201 171 41
580	103 230 18 12 39
581	79 190 176 94 211
582	187 254 97
583	256 99 40 73
584	167 163 190 39
585	182 176 142 174 198
586	241 26 211
587	210 88 83 44 143
588	105 74 87
589	184 69 128
590	158 166 253 122 90
591	89 225 117 202
592	258 167 166 51 112
593	9 19 28
594	35 248 259 172
595	77 152 61 67
596	62 36 81 20 162
597	193 196 219 72
598	175 210 74 139
599	128 26 254 185 247
600	140 136 6 23 249
601	58 79 223
602	61 189 69
603	227 200 2 168 201
604	43 62 186 47 29
605	85 101 184
606	219 47 210 73 132
607	258 96 12
608	236 46 248 26
609	205 47 104 99
610	183 248 246
611	251 260 112 90
612	89 183 103
613	86 165 133 148 120
614	219 142 76 61 250
615	183 151 67
616	42 178 111 15
617	172 42 181
618	106 83 137 207
619	14 32 58 167
620	52 209 57 75 14
621	223 228 143
622	180 86 103
623	239 59 225 92 180
624	197 153 194
625	114 54 84 81 89
626	147 128 81 190
627	232 195 129 66
628	48 220 240
629	78 243 153 107
630	61 179 90
631	6 52 129 54
632	17 3 32 1 84
633	63 254 160
634	5 196 61 2
635	160 21 246 108
636	54 226 162 230
637	179 165 100 164 98
638	65 120 94
639	135 157 17 79 47
640	205 141 84 224 143
641	252 64 28 68
642	139 40 38
643	251 196 201 167 123
644	125 11 161 14
645	147 98 72 198 185
646	165 199 243 1
647	101 96 81 135
648	222 3 200
649	63 185 182 100 241
650	82 134 178 156 48
651	139 225 221 220 61
652	244 27 223 238 219
653	185 243 20 133
654	234 131 92 120
655	117 103 260 170 239
656	151 135 97 207
657	125 251 58
658	142 169 125 215
659	6 99 54 101
660	164 23 85
661	46 73 122 235
662	3 124 252 117 200
663	238 140 55 46 123
664	52 238 173 55 66
665	8 47 207 259
666	38 226 92 25 240
667	182 217 24 257
668	243 187 228
669	3 112 254 30 11
670	55 204 232 3 202
671	145 39 66
672	24 205 198
673	60 136 23 27
674	76 173 203
675	128 142 204 18
676	110 256 50 211
677	192 81 29 11
678	176 209 95
679	109 126 239 153 67
680	178 89 72 75
681	247 229 160
682	145 220 94
683	103 115 187 143 162
684	86 62 255 4 79
685	245 89 163 153
686	33 115 253 21
687	118 125 63 140
688	64 127 182 205
689	258 255 35 155
690	18 196 82 239
691	112 69 203 126 139
692	183 47 94
693	160 191 85 23
694	24 170 190
695	121 254 110
696	33 240 160 92
697	41 97 111 26 126
698	30 36 243 224 251
699	252 84 219 76 88
700	223 106 29 132
701	254 28 132 146
702	239 53 232
703	155 184 182 204 165
704	174 51 109
705	123 39 8 152 1
706	213 216 155 83 84
707	182 257 83 234
708	185 12 218 27
709	35 212 205 130
710	117 151 237 191 45
711	230 111 60 183 252
712	78 89 128 218
713	109 136 27
714	51 28 228
715	47 41 28 233 168
716	237 85 59
717	33 72 7 96
718	32 4 130 187
719	87 94 26 247
720	63 127 194
721	78 50 3
722	113 253 149 42
723	153 144 111
724	58 61 19 136 116
725	238 110 204 182 205
726	123 198 97 113 137
727	1 183 66
728	202 242 58 249
729	39 86 157 104
730	38 47 109
731	132 5 48 239 233
732	188 55 111 195 165
733	170 64 199 88
734	253 48 131 137 189
735	152 173 102 162
736	62 89 39 93 218
737	75 224 108
738	116 248 127
739	103 222 93 171 153
740	246 45 132 206 223
741	104 89 142
742	237 211 70
743	119 51 206 218
744	63 177 14 127
745	231 137 92 41
746	62 60 148 204
747	160 184 118 6 218
748	167 124 21 125 220
749	197 260 125 19
750	198 241 161
751	71 44 139 241 157
752	115 89 81
753	46 51 186 190 241
754	194 242 150 136 148
755	142 210 223 81 245
756	105 25 109 201 145
757	129 120 181 229
758	102 216 151 65
759	248 171 156 79 161
760	25 79 61
761	227 60 198 97 44
762	186 225 178
763	132 12 155
764	104 131 70 202 236
765	247 156 18
766	50 129 64 195
767	55 214 191 173 157
768	59 114 215 141 125
769	219 3 30 142
770	180 146 218 40 213
771	13 173 228 229
772	67 69 141 243 22
773	56 138 30 65
774	222 139 156
775	221 140 248 170 106
776	39 233 176
777	247 220 100
778	1 54 228
779	244 120 165 128
780	121 216 15 260 103
781	200 145 111 216
782	85 114 127 165 213
783	179 151 77 194
784	123 103 35
785	176 191 178
786	167 137 21
787	115 255 214 22 217
788	245 167 105
789	257 211 16 214 129
790	18 34 249 113 30
791	22 95 160
792	234 13 214 209 152
793	62 42 17 18
794	239 243 20 252 120
795	254 109 169
796	190 242 185 257
797	231 79 126 9
798	33 40 27 102 213
799	74 35 257 176
800	28 113 256 232
801	83 1 228 13 30
802	52 153 214 45
803	251 147 84 196
804	28 204 157
805	95 243 206 222 237
806	258 59 141 241 11
807	171 215 233
808	150 210 239 63 252
809	98 34 82
810	5 42 109
811	171 152 202 209 260
812	210 214 161 168
813	216 2 162
814	71 29 143 247
815	137 235 152 231 218
816	249 105 171 99 69
817	113 168 197
818	3 55 172 63
819	233 216 65 224
820	229 139 248 234 251
821	146 57 226
822	230 217 104
823	33 53 199 61
824	61 190 53
825	139 35 149 27
826	188 58 125 98 1
827	230 92 55 120
828	148 180 243
829	41 12 157 70
830	229 8 123
831	43 192 101
832	113 106 46 255
833	140 111 43
834	15 141 166 112
835	198 251 16
836	236 17 179
837	257 190 152
838	198 104 130 246
839	188 13 110 79
840	27 194 10 164
841	142 232 151
842	94 99 60 184
843	36 109 205 26 83
844	179 75 192 162
845	61 236 153 199 168
846	253 52 104 41 237
847	26 220 21 80 62
848	248 60 147
849	138 168 62 124
850	240 50 257 182 54
851	186 15 146 120 91
852	201 29 16 167
853	24 234 201 207 251
854	193 82 6 2
855	258 80 76 174 182
856	232 23 92 143
857	230 213 206 83
858	17 206 15 127
859	218 57 249 108
860	178 64 148 75 89
861	116 75 148
862	19 134 102 20
863	195 114 18 93
864	208 155 47 180 64
865	173 16 195 54 196
866	28 127 101 254 35
867	97 118 237 168 114
868	10 255 177 88 38
869	210 211 135
870	152 176 257 57 125
871	206 63 14 116 24
872	120 151 110 106 168
873	110 165 106 43 192
874	10 252 248 214 213
875	119 93 194 69
876	181 67 170 150
877	106 20 192 257
878	189 127 13
879	111 225 145 107 126
880	217 187 190 19 191
881	208 91 89 111
882	55 46 160 130 85
883	61 120 22 252 116
884	172 29 20 24 191
885	129 252 140 200
886	153 4 47 72 53
887	243 28 19 39
888	47 128 79 93 106
889	195 148 73
890	260 223 224 199 41
891	11 130 198 183 243
892	236 160 62
893	155 14 115
894	98 99 134
895	176 51 35 37
896	103 127 189 220 3
897	90 144 122 88 249
898	194 206 83 91 138
899	161 131 144 19 69
900	185 7 103 207 178
901	50 91 142 3
902	1 157 121 101
903	173 191 250 30 198
904	220 123 254
905	100 32 201 163
906	54 243 64 131
907	39 104 119 113
908	138 256 222 142 152
909	164 160 227
910	91 181 194
911	173 160 129
912	108 199 122 145 55
913	91 251 151 181 202
914	95 215 126 155
915	35 103 192 211
916	91 166 129
917	49 229 167 105
918	32 247 125
919	128 27 43
920	67 25 30
921	109 100 123 180
922	171 222 101
923	53 3 175
924	218 247 158 210
925	181 128 201
926	134 218 16 109
927	178 66 49 211
928	141 209 66
929	48 53 197 26 88
930	223 48 154 196
931	215 64 90 94 157
932	232 54 156 31
933	79 58 235 95
934	103 75 118 56
935	49 80 2
936	199 27 42
937	1 48 110 25 230
938	16 152 41
939	5 244 137 155
940	115 70 86 80 8
941	258 127 197 7 181
942	162 231 154 259
943	160 162 252 154 155
944	52 117 168
945	198 72 205
946	160 181 46 94 51
947	228 140 186 210
948	110 238 134 28 219
949	207 244 90 51
950	168 134 229
951	141 215 83 99
952	177 149 82 171 129
953	141 234 69
954	51 229 130
955	73 241 60 30
956	218 196 73 198
957	108 190 245
958	188 15 116 170
959	222 17 163 43 130
960	145 109 188
961	162 18 219 139 66
962	109 103 209 90 1
963	176 210 12
964	76 45 106
965	21 73 53 94
966	171 157 184 199
967	24 95 160
968	253 16 96 83
969	92 62 219 229 153
970	23 225 37 189
971	37 185 161
972	123 170 63 253
973	9 129 174
974	149 185 58
975	201 38 56
976	86 69 234
977	136 90 5 92 54
978	132 206 174 107
979	1 155 64 152
980	139 176 22 89 107
981	17 20 7 249
982	69 240 145
983	188 126 134 190 19
984	205 250 200
985	27 76 127 97 189
986	8 61 160 188
987	211 173 188 9 238
988	135 16 243 179 239
989	3 24 109 158 104
990	140 169 141
991	118 220 212 251 104
992	202 144 25 189
993	191 208 253 239
994	197 92 7
995	96 153 104 58
996	17 99 160
997	39 113 30 207 147
998	253 201 250 50 203
999	114 118 190
1000	94 128 136 115
1001	210 249 62 3
1002	237 244 242 214
1003	230 64 49 229
1004	13 178 23
1005	32 3 215 196
1006	112 56 60
1007	14 100 73 102 238
1008	256 52 130
1009	138 204 69
1010	11 3 104 136 111
1011	212 218 149 37 66
1012	47 219 57 247
1013	229 208 196
1014	147 141 163 256 175
1015	220 98 247
1016	157 153 61 36
1017	97 13 122
1018	64 1 135
1019	239 196 150
1020	224 111 195
1021	89 20 167 234 160
1022	56 46 153
1023	163 109 228 158
1024	75 109 10 43
1025	134 106 172
1026	131 40 217 245
1027	228 20 197 225
1028	4 209 49 117 156
1029	31 40 255 91 149
1030	116 62 140 227 96
1031	74 150 219
1032	33 121 195 255
1033	5 70 202
1034	49 144 223 166
1035	140 188 160 72 207
1036	86 222 18 109
1037	157 253 112 171 170
1038	2 38 48
1039	183 147 1
1040	135 175 123 260 89
1041	34 258 161 16 179
1042	2 110 45 121
1043	95 220 121
1044	260 113 91
1045	46 17 58
1046	225 28 191 51 147
1047	101 206 118
1048	248 5 67 12
1049	38 146 1 129
1050	50 43 240 91 206
1051	194 183 235 190
1052	200 92 197 101 144
1053	172 153 255 258 140
1054	187 167 79 74 168
1055	9 227 112 216 75
1056	1 221 76 208
1057	229 149 144 5 237
1058	145 170 129 186 64
1059	139 70 225
1060	196 57 168 109
1061	208 108 119 210
1062	244 64 203
1063	46 208 100 176
1064	178 171 22 205 142
1065	45 92 230 28 25
1066	73 29 95 204 78
1067	252 135 167 143 195
1068	56 252 67
1069	76 197 251
1070	156 139 134
1071	22 144 216
1072	79 4 151 102
1073	5 159 172 223 60
1074	257 83 11
1075	9 240 206 212 109
1076	147 37 2 243
1077	170 9 252
1078	209 92 57 228
1079	233 124 165 159 236
1080	21 256 179 128
1081	257 181 52 173
1082	134 49 45 160 169
1083	199 4 103 187 226
1084	117 93 95 71
1085	170 222 65 191 152
1086	139 53 193 14 162
1087	211 204 35
1088	113 182 145
1089	11 141 175 233
1090	169 101 45 60
1091	166 36 103
1092	8 73 157 222 136
1093	110 247 89 4 26
1094	63 101 196
1095	113 29 217 21 159
1096	111 11 101
1097	159 65 216
1098	127 64 42 73 162
1099	52 221 55 18
1100	250 129 15 67
1101	9 129 31 241
1102	110 150 148
1103	201 231 200 49
1104	230 258 184
1105	233 80 33 214 132
1106	62 46 230
1107	144 143 215
1108	14 146 52 92 117
1109	255 22 63
1110	121 179 118
1111	201 125 145
1112	1 181 180
1113	41 207 102
1114	186 135 175 189
1115	180 239 185
1116	219 206 76
1117	10 25 15 175
1118	146 253 181
1119	223 73 12 170 72
1120	199 157 228 16
1121	131 63 100 21 154
1122	104 8 152 154
1123	106 61 114
1124	223 211 165 60
1125	15 166 151 235
1126	50 122 1
1127	210 174 39
1128	210 130 45
1129	78 9 162 1 213
1130	242 120 171 228
1131	37 85 173
1132	93 41 237
1133	183 173 234 26 246
1134	105 61 247
1135	75 119 33 162
1136	191 235 172
1137	177 202 102 76
1138	30 87 205 45 180
1139	145 37 53
1140	123 69 54
1141	126 215 182
1142	217 43 33 226 205
1143	148 119 135
1144	89 28 95
1145	165 174 55 19 157
1146	161 151 185 168 63
1147	114 225 77
1148	254 87 16 226
1149	137 129 40
1150	193 49 216 67
1151	35 170 143 44 232
1152	246 6 51
1153	177 170 182
1154	110 45 233
1155	193 211 209 4 37
1156	78 1 156 208 149
1157	237 116 20
1158	127 171 179 184 232
1159	196 192 183
1160	217 250 38 224
1161	80 156 6
1162	81 209 88 219
1163	137 85 76 117 91
1164	59 77 260
1165	209 200 149
1166	39 207 251
1167	175 51 25 107
1168	140 143 182
1169	115 64 156
1170	208 248 171 161
1171	49 3 224 209
1172	205 153 251 226
1173	220 53 58
1174	211 124 98 153 180
1175	215 181 35 170
1176	10 210 131 260
