Course	Room	Teacher	Time	Students
213	CHSAUD	282	58	341 279 521 640 237 809 990 382 1090 803 42 480 475 
214	CHSAUD	241	3	711 452 1169 982 
216	HLS109	159	37	1000 148 
217	SHA410	146	7	1063 590 851 740 554 829 650 880 999 894 215 762 283 536 425 1037 723 635 483 
222	SHA410	195	51	29 
223	SHA410	170	19	141 1071 222 
224	SHA410	18	17	430 98 235 232 372 182 1088 663 598 366 504 502 165 213 
228	CHSAUD	237	30	349 392 627 253 983 639 
235	SHAAUD	195	35	348 435 744 494 79 1047 69 1036 
236	CHSAUD	74	9	109 905 613 951 130 492 658 833 783 468 1104 766 268 774 309 
237	SHAAUD	57	16	410 356 1117 
238	SHA410	232	3	275 107 517 79 1049 665 549 964 878 350 217 
239	ESTW307	133	40	812 911 295 274 108 104 1081 234 374 589 615 510 516 753 779 666 410 922 497 781 391 
240	STOAUD	329	47	446 790 
241	SHAAUD	255	20	
243	HLS109	75	11	1004 937 970 922 962 855 1027 483 
244	SHAAUD	320	47	715 643 
249	SHA410	133	30	855 
251	SHAAUD	230	26	342 526 333 941 547 936 560 
253	SHA410	146	6	349 778 1151 1167 
256	HLS109	266	51	614 950 726 
259	ESTW307	111	37	522 
260	CHSAUD	153	20	665 352 988 
263	HLS109	20	42	159 
267	SHAAUD	116	48	348 716 951 249 326 76 1042 121 782 1037 724 
268	HLS109	54	6	1145 712 102 858 768 379 376 1089 321 666 923 383 909 113 478 
269	HLS109	255	10	949 159 
275	CHSAUD	133	35	295 446 557 1052 1139 
276	CHSAUD	186	22	947 
277	STOAUD	272	33	1051 1071 426 303 
281	CHSAUD	110	44	1162 206 
282	SHAAUD	122	53	714 193 433 92 490 703 1131 1136 973 13 881 928 731 1031 301 737 489 
283	HLS109	71	36	242 835 603 
286	HLS109	56	32	847 
290	HLS109	153	55	711 294 1146 545 788 1097 
292	SHA410	316	58	242 74 603 646 720 
295	SHAAUD	145	25	911 197 520 104 741 25 629 249 455 181 650 864 699 542 546 996 498 363 787 254 960 874 806 428 420 302 1161 1114 
297	CHSAUD	172	25	191 436 854 758 456 324 76 669 121 573 576 501 1079 675 771 754 153 
298	SHA410	226	23	196 439 1000 742 1005 491 589 208 668 664 692 836 968 283 671 261 533 115 
302	SHA410	192	1	
305	SHAAUD	67	12	644 337 1120 746 142 143 610 371 89 925 513 201 78 310 604 508 870 807 218 755 486 
308	SHA410	304	44	528 95 558 232 138 707 797 795 924 180 863 756 328 991 67 256 1129 1108 353 51 774 980 307 561 158 470 
309	ESTW307	300	55	346 591 443 747 143 139 21 456 677 391 
310	ESTW307	199	18	159 
311	SHA410	241	41	348 1002 553 768 130 392 253 929 328 759 546 258 898 1078 1076 221 
312	CHSAUD	237	48	553 881 328 318 1154 898 474 
313	ESTW307	188	24	1162 813 296 591 527 443 35 642 851 1066 554 233 689 927 1028 829 377 7 584 585 583 1132 588 926 1008 626 624 451 181 11 13 16 753 204 206 1042 693 1010 776 313 3 380 255 732 734 468 467 463 9 1116 
315	HLS109	232	30	105 33 1009 546 993 574 733 210 825 
318	SHA410	269	38	292 906 433 414 934 874 1155 1099 
319	STO10	238	55	1149 558 1139 518 779 922 1155 9 806 1031 114 821 483 
321	STO10	276	23	346 813 1182 1017 528 104 39 559 703 798 970 189 1032 1174 1099 807 806 673 114 770 739 722 1111 1173 486 477 
323	HLS109	44	58	438 745 91 1058 144 85 15 2 414 776 602 898 823 487 
324	SHA410	189	9	135 976 221 
325	SHA410	48	48	591 836 380 166 807 486 
327	ESTW307	98	11	291 641 799 888 769 860 967 1102 539 982 751 
328	HLS109	212	44	916 911 910 526 105 33 142 149 373 83 85 171 971 1041 120 366 365 384 789 730 733 630 870 1158 897 1087 350 674 267 264 58 57 303 1029 477 
332	SHA410	112	35	911 277 818 796 247 178 172 862 329 1141 838 959 1096 873 729 155 
335	HLS109	281	23	1019 161 
336	SHAAUD	28	33	1175 912 622 700 693 776 385 285 679 1093 
338	STOAUD	199	54	1005 1176 779 1016 
341	CHSAUD	257	47	713 34 1156 743 747 25 1170 588 1080 651 834 503 466 957 288 1094 775 1021 158 1118 481 471 
344	SHAAUD	248	15	915 196 108 107 1156 91 490 393 971 864 887 1047 666 997 418 499 572 908 909 879 877 800 763 1093 533 530 538 987 773 1127 152 484 
345	HLS109	171	38	
347	HLS109	19	17	902 907 439 857 375 658 1044 882 789 964 984 420 
349	SHA410	251	4	552 234 146 607 513 314 577 61 1108 1090 532 774 564 
350	SHAAUD	88	54	348 330 21 249 451 176 996 993 128 498 
351	CHSAUD	325	33	406 518 1045 934 
352	HLS109	182	3	290 333 856 743 1071 266 986 112 485 955 
355	SHA410	83	25	590 1017 492 453 124 1177 966 425 1039 224 
358	HLS109	268	25	136 839 
359	SHA410	190	49	1145 713 594 296 293 590 199 738 527 520 1025 443 441 35 34 1156 336 745 851 1081 6 1066 740 747 554 233 1058 1 614 613 912 942 684 622 495 20 405 933 1028 700 618 792 1132 588 625 453 454 656 975 978 
360	ESTW307	124	44	276 742 143 132 401 89 86 540 310 839 214 676 827 1034 228 485 
362	CHSAUD	122	21	183 
363	ESTW307	189	3	38 945 768 138 588 626 864 928 548 725 466 908 280 54 895 1151 726 
365	SHA410	192	22	444 431 235 146 147 1007 709 395 798 245 519 518 977 883 1032 1045 1143 698 543 1016 834 575 460 934 1033 673 539 985 918 
370	STOAUD	318	2	718 717 39 401 86 246 510 174 72 868 412 1109 984 227 1115 
372	ESTW307	39	42	1183 1162 1103 447 1120 22 66 766 728 
374	STO10	168	18	715 606 297 738 746 24 393 455 974 973 321 364 381 735 960 1091 877 800 51 302 853 1039 608 399 5 
375	STO10	185	24	817 274 525 408 828 459 627 653 663 316 360 781 676 672 853 
377	HLS109	323	7	291 1014 134 799 959 168 890 1072 112 751 
378	STO10	207	11	187 833 577 256 426 
383	HLS109	255	22	664 697 1160 
385	ESTW307	245	34	606 104 902 39 439 28 933 1060 708 601 970 938 699 839 385 461 162 807 56 820 
386	CHSAUD	201	54	191 190 432 377 376 652 650 1088 205 694 921 832 259 670 55 985 429 1113 1163 487 
388	SHA410	15	21	917 1081 1051 1178 245 1124 651 665 691 123 387 1095 675 777 757 567 1036 477 
394	CHSAUD	77	50	711 
395	ESTW307	241	10	194 902 452 1148 320 417 1154 59 
396	ESTW307	330	7	15 896 
399	HLS109	293	47	1183 297 905 1150 22 1136 881 78 1043 66 67 735 633 1104 896 737 728 483 
401	CHSAUD	14	57	1122 326 415 636 
406	CHSAUD	317	12	346 94 785 57 
407	HLS109	239	21	278 869 952 287 1151 1167 
408	SHA410	21	13	494 517 74 79 163 150 
409	ESTW307	56	5	231 87 307 
410	ESTW307	21	58	150 
411	SHAAUD	56	27	292 1085 231 82 797 183 995 319 505 307 1038 
412	ESTW307	27	25	347 710 445 109 746 555 24 370 511 517 971 1047 496 388 604 259 500 908 537 824 225 222 152 608 1111 484 
414	HLS109	141	9	
416	CHSAUD	169	27	709 88 799 310 388 168 1158 218 956 57 824 152 
419	SHA410	53	57	292 319 
422	CHSAUD	226	26	816 431 798 
423	HLS109	225	48	245 543 539 918 
427	HLS109	320	19	643 612 1146 870 897 843 
429	HLS109	296	1	1012 1074 
431	SHA410	317	27	448 94 97 239 616 680 375 794 1137 244 924 171 1126 366 785 860 897 219 1003 59 634 488 
432	HLS109	54	4	619 946 160 962 
433	STO10	61	25	932 514 620 862 361 788 1154 281 264 849 569 390 634 
435	SHA410	228	50	568 
436	SHA410	297	39	292 528 859 1085 231 932 707 87 797 183 187 189 889 995 319 577 281 1083 307 1038 474 
437	HLS109	132	39	30 641 437 550 791 832 368 1068 1163 
438	STO10	323	52	101 95 1050 
439	SHA410	61	33	594 297 738 1025 618 656 929 324 313 537 755 728 
440	ESTW307	171	48	349 900 815 1056 976 173 1126 389 390 
442	ESTW307	300	32	346 910 688 582 924 384 221 
443	HLS109	90	35	298 680 896 
444	SHA410	75	12	933 937 509 962 1155 855 563 1027 483 
445	ESTW307	88	4	446 101 238 947 20 22 1132 1131 14 928 203 1040 598 999 129 574 602 502 872 1155 1023 48 
448	HLS109	163	49	812 736 523 1015 434 819 748 1055 944 930 378 373 706 184 938 950 73 805 314 360 969 761 286 774 475 
452	HLS109	330	57	642 186 
454	HLS109	290	27	294 275 852 900 815 742 1056 145 681 89 86 246 615 62 320 655 661 695 540 123 389 788 1109 1034 1159 1180 1112 
457	CHSAUD	46	15	199 192 441 1066 510 625 725 65 66 162 212 678 675 771 954 225 399 749 
458	HLS109	276	59	276 444 93 557 1052 1139 406 709 620 207 367 168 9 114 771 841 821 849 1164 223 1161 1111 
459	STO10	7	56	192 272 1051 623 1049 544 920 216 
460	ESTW307	71	47	342 233 684 686 657 1128 310 725 939 636 965 1153 1070 676 263 534 823 221 49 
462	ESTW307	238	1	1149 295 271 446 557 1052 922 367 855 849 390 
463	STO10	188	37	919 726 
466	ESTW307	266	21	340 341 527 448 447 94 370 1016 254 503 630 934 919 486 
467	SHA410	97	28	133 650 1105 530 
474	ESTW307	189	27	705 752 545 501 1078 
476	SHAAUD	254	43	191 1156 1150 1132 312 3 387 782 872 801 762 116 
477	ESTW307	233	0	624 315 289 267 51 421 
478	CHSAUD	33	53	813 592 275 447 37 90 141 912 687 1069 975 184 17 885 752 756 698 125 127 508 507 631 637 9 891 894 359 215 4 280 777 111 423 425 895 847 1165 1046 1184 1113 479 
479	SHA410	329	54	717 240 328 1044 68 124 415 386 387 66 989 423 1165 1046 
481	HLS109	259	33	101 36 559 1057 617 516 1040 991 126 419 1138 632 1086 1171 421 300 304 306 820 
482	STO10	294	29	186 
483	HLS109	218	12	854 2 695 956 
484	HLS109	30	50	1175 336 6 885 70 416 920 419 965 1034 
487	STO10	78	3	1135 1053 406 404 708 791 513 888 209 832 838 506 355 772 953 1159 1117 
488	ESTW307	267	50	294 194 276 852 814 1056 145 610 132 708 242 615 173 320 120 317 351 956 264 565 390 1112 
489	ESTW307	43	17	811 31 437 404 886 697 838 1117 
492	HLS109	101	54	275 641 788 967 
494	ESTW307	139	36	373 
495	ESTW307	29	33	866 207 311 356 119 
496	ESTW307	122	12	1038 
498	ESTW307	68	49	415 
500	STO10	137	33	340 645 332 1000 551 1054 1059 148 709 248 71 1140 664 697 998 410 367 506 893 355 672 1160 
501	ESTW307	137	23	355 
502	ESTW307	259	39	1040 419 803 425 
503	STO10	273	49	809 508 
514	CHSAUD	292	43	1061 1065 293 270 100 92 237 374 17 18 326 1042 1040 1043 805 381 385 162 1107 1105 1153 1083 54 532 154 158 749 
516	SHAAUD	194	2	559 558 685 402 703 187 189 928 833 61 256 353 980 
519	ESTW307	141	14	1054 463 988 
522	STO10	199	5	949 893 
528	SHA410	282	20	346 341 1182 271 279 1067 521 640 146 970 514 1090 803 151 42 480 475 
532	STO10	245	50	37 1099 772 849 1111 
533	HLS109	320	41	1130 244 417 
535	STO10	174	46	1065 299 642 844 684 81 790 207 415 350 269 227 1021 639 
536	HLS109	118	20	1150 616 375 317 780 802 1003 118 739 
543	ESTW307	239	9	
545	SHA410	228	43	717 916 857 684 628 264 701 
546	ESTW307	227	22	714 1103 1064 529 744 992 617 688 686 25 84 979 179 831 322 70 662 312 368 605 60 469 876 52 535 112 
547	SHA410	8	53	343 810 106 741 742 230 1059 491 709 798 601 977 71 671 953 841 
548	STO10	107	48	343 810 106 645 332 1000 741 551 230 1054 949 491 601 1110 883 1140 664 697 998 410 250 164 600 893 355 671 672 988 841 821 1160 159 46 
549	ESTW307	77	41	714 445 905 1066 555 554 232 912 684 1069 372 7 1080 184 12 70 694 414 3 783 1073 288 428 824 1166 471 
553	CHSAUD	85	2	448 103 867 200 780 732 802 1003 281 269 118 739 
554	SHA410	19	15	616 384 1172 
555	ESTW307	215	38	655 727 
557	HLS109	187	13	437 132 936 986 822 
558	SHA410	106	2	1085 995 505 
560	ESTW307	54	54	994 1135 93 459 327 
563	ESTW307	261	59	716 35 436 335 26 933 170 656 978 12 662 1128 1010 318 1177 861 380 385 258 647 767 1079 282 537 981 823 1127 1037 154 
565	SHA410	273	26	279 1067 91 148 660 1128 508 169 894 648 1001 720 153 42 
566	ESTW307	226	20	208 
572	STO10	267	1	1098 145 681 246 62 661 412 361 1021 
573	HLS109	296	28	1144 816 522 431 147 1005 406 1176 798 245 247 518 1012 779 1045 543 1016 410 934 356 1074 539 953 918 567 1117 477 
574	HLS109	85	53	643 438 237 1055 792 450 16 1140 664 315 860 1094 982 
576	STO10	68	54	528 859 622 455 182 77 1041 769 868 860 1157 762 56 853 
577	ESTW307	196	57	1135 903 848 27 925 211 1169 283 
579	ESTW307	284	30	709 672 
580	HLS109	1	43	743 890 485 
581	STO10	254	47	454 255 1157 767 536 777 722 
583	STO10	304	36	101 236 148 493 189 411 1138 381 505 464 1086 1072 1083 1121 532 153 
585	HLS109	97	26	343 911 910 291 191 1013 430 334 819 131 83 799 243 459 179 62 1032 1141 667 498 365 360 959 1072 58 55 52 539 113 424 40 1185 
587	ESTW307	304	53	633 1171 1039 
590	ESTW307	39	35	1175 592 1017 38 170 414 895 728 5 
593	ESTW307	20	6	367 893 
596	ESTW307	30	51	748 922 1075 
603	STO10	85	41	438 859 237 941 16 655 544 315 367 860 1094 982 
605	HLS109	196	15	780 984 
606	STO10	180	42	345 817 1014 852 667 160 963 873 763 1038 
610	ESTW307	179	19	620 77 763 533 983 
611	STO10	251	38	299 90 559 685 586 180 863 756 1138 577 
612	ESTW307	205	26	1061 234 703 515 175 464 470 
613	ESTW307	202	15	643 943 402 792 
614	ESTW307	33	8	552 234 146 607 513 314 577 61 1108 1090 532 774 564 
615	STO10	134	20	192 277 239 623 704 705 89 659 203 415 161 961 807 1074 846 
616	STO10	226	19	
618	HLS109	4	2	1064 199 270 527 36 337 992 377 793 580 1136 11 10 18 79 413 169 1129 801 1031 306 824 750 224 1024 724 
620	STO10	71	12	74 631 
621	STO10	257	35	
624	ESTW307	284	28	637 
627	STO10	112	32	438 735 223 220 
628	STO10	18	21	1062 98 450 323 667 161 356 770 488 
629	STO10	104	0	334 822 
630	STO10	69	7	645 551 71 506 
631	CHSAUD	225	16	196 439 742 147 1005 395 589 519 518 977 883 208 1045 668 664 692 697 698 836 1174 1033 283 261 985 115 159 477 
632	STO10	134	8	342 1064 738 520 1025 39 38 34 1120 740 1057 1058 992 613 1139 139 1028 585 453 455 174 669 68 413 776 318 836 368 364 386 939 500 467 461 165 162 210 957 678 679 1092 1031 116 110 820 1039 750 229 1026 5 
640	SHA410	27	16	431 6 929 72 
641	STO10	196	17	118 
651	HLS109	246	16	343 710 298 299 597 195 193 445 642 339 99 96 746 555 230 613 689 137 490 24 23 404 402 932 937 1069 628 370 374 393 392 80 583 580 177 974 1123 651 18 884 887 205 804 669 125 1011 921 1134 830 388 
655	STO10	50	15	1144 913 522 247 1140 567 
659	STO10	180	39	644 558 147 686 133 130 7 625 182 8 127 839 389 65 69 503 936 212 536 827 224 722 
660	STO10	126	6	913 147 247 1140 953 
662	STO10	248	30	1149 102 556 548 781 572 
664	STO10	196	14	32 1002 828 739 
665	STO10	323	44	1182 856 238 374 240 654 835 785 1102 958 
666	ESTW307	57	13	1117 
669	ESTW307	224	2	521 1025 95 552 514 660 126 411 508 894 648 1086 1001 151 153 1118 480 475 
673	STO10	108	2	407 
675	STO10	76	57	197 273 28 1060 795 188 202 546 868 961 1073 537 827 560 
679	STO10	282	40	915 237 
684	ESTW307	261	43	606 793 456 10 202 76 1044 8 549 363 787 357 1094 775 724 722 723 721 635 43 
686	STO10	77	26	902 16 659 1146 1154 1078 300 
687	STO10	43	10	1145 744 683 23 1084 1011 361 1174 69 985 
689	STO10	36	31	854 15 572 
692	ESTW307	330	16	331 1030 1059 1007 1028 371 625 450 787 939 734 1102 679 674 53 303 721 
704	STO10	318	43	443 854 740 1058 623 405 408 758 371 377 240 658 653 880 204 1049 699 542 544 364 365 783 163 891 429 1127 1046 1023 44 1114 
707	STO10	196	16	943 925 952 1169 118 739 
709	STO10	56	59	1175 1183 1162 1103 592 1017 441 447 106 38 905 336 1120 236 495 139 22 408 1069 1060 700 1170 180 1125 752 324 759 78 411 364 66 250 960 1104 766 957 777 895 750 728 5 483 
711	STO10	320	22	715 592 844 1051 808 897 
713	STO10	56	45	82 
714	STO10	67	13	813 736 599 1120 1 940 927 937 704 81 926 456 185 1122 884 202 695 68 806 1073 268 701 423 755 227 47 
717	STO10	182	58	275 330 550 249 511 176 76 216 263 262 826 1024 1026 1161 
718	STO10	202	51	204 889 75 544 676 
720	STO10	95	27	748 1050 951 940 623 29 379 627 1148 202 549 417 311 789 64 1099 775 822 223 
721	STO10	153	28	335 758 392 999 871 648 
724	STO10	318	53	294 
731	STO10	228	4	298 194 99 1098 128 835 892 
732	STO10	68	9	97 171 1179 319 
733	CHSAUD	106	42	474 
734	CHSAUD	112	11	172 329 
736	STOAUD	311	30	583 
737	SHAAUD	119	17	593 195 445 100 339 99 96 236 137 24 23 927 402 937 628 80 585 580 926 177 974 651 18 804 669 125 1011 1134 830 362 507 637 167 1091 879 1152 1070 284 1083 263 262 538 114 110 424 825 826 1166 1027 484 
740	SHAAUD	159	9	1110 1123 837 250 1172 636 463 164 531 305 159 45 
741	STOAUD	196	29	719 1018 241 964 800 309 749 
746	CHSAUD	218	29	857 655 1159 565 1180 
747	SHAAUD	166	23	
